lambda,variant,split,cheap util,full util,oracle util,oracle route,conf util,conf route,context-learned util,context route,context acc
0.02,id_block2_h36_seed0,train/easy,0.998779,0.978779,0.999976,0.001221,0.997607,0.058608,0.999976,0.001221,1.0
0.02,block2_h72_seed11,train/easy,0.930288,0.955962,0.97976,0.050481,0.966154,0.25,0.976106,0.112981,0.978365
0.02,block2_v18_seed12,train/easy,0.98731,0.974924,0.997259,0.010152,0.99269,0.111675,0.997005,0.022843,0.997462
0.02,block3_h36_seed13,hard_ood,0.897311,0.808851,0.94044,0.04401,0.830024,0.430318,0.892176,0.012225,0.892421
0.02,block3_h48_seed10,hard_ood,0.853234,0.820796,0.914179,0.062189,0.859602,0.427861,0.855124,0.029851,0.855721
0.02,block3_h72_seed14,hard_ood,0.731235,0.798402,0.892591,0.164649,0.795545,0.53753,0.79385,0.25908,0.799031
0.05,id_block2_h36_seed0,train/easy,0.998779,0.948779,0.999939,0.001221,0.998107,0.013431,0.999939,0.001221,1.0
0.05,block2_h72_seed11,train/easy,0.930288,0.925962,0.978245,0.050481,0.959255,0.09375,0.972716,0.112981,0.978365
0.05,block2_v18_seed12,train/easy,0.98731,0.944924,0.996954,0.010152,0.992893,0.040609,0.99632,0.022843,0.997462
0.05,block3_h36_seed13,hard_ood,0.897311,0.778851,0.93912,0.04401,0.857213,0.215159,0.891809,0.012225,0.892421
0.05,block3_h48_seed10,hard_ood,0.853234,0.790796,0.912313,0.062189,0.858209,0.149254,0.854229,0.029851,0.855721
0.05,block3_h72_seed14,hard_ood,0.731235,0.768402,0.887651,0.164649,0.770097,0.288136,0.786077,0.25908,0.799031
0.1,id_block2_h36_seed0,train/easy,0.998779,0.898779,0.999878,0.001221,0.997436,0.013431,0.999878,0.001221,1.0
0.1,block2_h72_seed11,train/easy,0.930288,0.875962,0.975721,0.050481,0.954567,0.09375,0.967067,0.112981,0.978365
0.1,block2_v18_seed12,train/easy,0.98731,0.894924,0.996447,0.010152,0.990863,0.040609,0.995178,0.022843,0.997462
0.1,block3_h36_seed13,hard_ood,0.897311,0.728851,0.936919,0.04401,0.846455,0.215159,0.891198,0.012225,0.892421
0.1,block3_h48_seed10,hard_ood,0.853234,0.740796,0.909204,0.062189,0.850746,0.149254,0.852736,0.029851,0.855721
0.1,block3_h72_seed14,hard_ood,0.731235,0.718402,0.879419,0.164649,0.75569,0.288136,0.773123,0.25908,0.799031
0.2,id_block2_h36_seed0,train/easy,0.998779,0.798779,0.999756,0.001221,0.99707,0.008547,0.999756,0.001221,1.0
0.2,block2_h72_seed11,train/easy,0.930288,0.775962,0.970673,0.050481,0.942308,0.060096,0.957212,0.09375,0.975962
0.2,block2_v18_seed12,train/easy,0.98731,0.794924,0.995431,0.010152,0.990355,0.022843,0.992893,0.022843,0.997462
0.2,block3_h36_seed13,hard_ood,0.897311,0.628851,0.932518,0.04401,0.850367,0.149144,0.890954,0.007335,0.892421
0.2,block3_h48_seed10,hard_ood,0.853234,0.640796,0.902985,0.062189,0.852736,0.10199,0.851244,0.022388,0.855721
0.2,block3_h72_seed14,hard_ood,0.731235,0.618402,0.862954,0.164649,0.742373,0.198547,0.7477,0.232446,0.794189
0.3,id_block2_h36_seed0,train/easy,0.998779,0.698779,0.999634,0.001221,0.996215,0.008547,0.999634,0.001221,1.0
0.3,block2_h72_seed11,train/easy,0.930288,0.675962,0.965625,0.050481,0.936298,0.060096,0.947837,0.09375,0.975962
0.3,block2_v18_seed12,train/easy,0.98731,0.694924,0.994416,0.010152,0.988071,0.022843,0.990609,0.022843,0.997462
0.3,block3_h36_seed13,hard_ood,0.897311,0.528851,0.928117,0.04401,0.835452,0.149144,0.89022,0.007335,0.892421
0.3,block3_h48_seed10,hard_ood,0.853234,0.540796,0.896766,0.062189,0.842537,0.10199,0.849005,0.022388,0.855721
0.3,block3_h72_seed14,hard_ood,0.731235,0.518402,0.846489,0.164649,0.722518,0.198547,0.724455,0.232446,0.794189
0.5,id_block2_h36_seed0,train/easy,0.998779,0.498779,0.999389,0.001221,0.998779,0.0,0.998779,0.0,0.998779
0.5,block2_h72_seed11,train/easy,0.930288,0.475962,0.955529,0.050481,0.930288,0.0,0.936298,0.036058,0.954327
0.5,block2_v18_seed12,train/easy,0.98731,0.494924,0.992386,0.010152,0.98731,0.0,0.984772,0.005076,0.98731
0.5,block3_h36_seed13,hard_ood,0.897311,0.328851,0.919315,0.04401,0.897311,0.0,0.897311,0.0,0.897311
0.5,block3_h48_seed10,hard_ood,0.853234,0.340796,0.884328,0.062189,0.853234,0.0,0.853234,0.0,0.853234
0.5,block3_h72_seed14,hard_ood,0.731235,0.318402,0.813559,0.164649,0.731235,0.0,0.7046,0.096852,0.753027
