lambda,heldout,variant_label,cheap,full,oracle,conf,context_cls,knn_context,rh_context,knn_context_latent,rh_context_latent,route_knn_context,route_rh_context,route_knn_context_latent,route_rh_context_latent,best_fixed,best_fixed_util,delta_knn_latent_vs_context,delta_rh_latent_vs_context,delta_best_latent_vs_best_context,lambda_label
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.8525672371638143,0.8869437652811736,0.8561858190709049,0.8650855745721273,0.8750122249388754,0.8767726161369194,0.2224938875305623,0.2665036674816626,0.2591687041564792,0.1711491442542787,cheap,0.8973105134474327,0.0188264058679705,0.011687041564792,0.011687041564792,0.02
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.939119804400978,0.8441320293398533,0.8860635696821517,0.8495110024449878,0.8612469437652812,0.8832518337408313,0.871638141809291,0.2224938875305623,0.2322738386308068,0.1344743276283618,0.1711491442542787,cheap,0.8973105134474327,0.0337408312958434,0.0103911980440097,0.02200488997555,0.05
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034232,0.8689486552567237,0.8845965770171148,0.8679706601466992,0.8841075794621027,0.8765281173594132,0.8841075794621027,0.1466992665036675,0.1075794621026894,0.1344743276283618,0.1075794621026894,cheap,0.8973105134474327,0.0085574572127139,0.0,0.0,0.10
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083128,0.8552567237163814,0.8836185819070904,0.8801955990220048,0.8777506112469438,0.8816625916870416,0.8787286063569681,0.0855745721271393,0.0366748166259168,0.0782396088019559,0.0929095354523227,cheap,0.8973105134474327,0.0014669926650368,0.0009779951100243,0.0014669926650368,0.20
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.8877750611246944,0.8816625916870416,0.8872860635696821,0.8833740831295844,0.8738386308068459,0.882640586797066,0.0171149144254278,0.0220048899755501,0.0782396088019559,0.0488997555012225,cheap,0.8973105134474327,-0.0134474327628362,-0.0007334963325184,-0.004645476772616,0.30
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.3288508557457212,0.9193154034229828,0.8973105134474327,0.8838630806845966,0.8973105134474327,0.8973105134474327,0.8838630806845966,0.8838630806845966,0.0,0.0,0.0268948655256723,0.0268948655256723,cheap,0.8973105134474327,-0.0134474327628361,-0.0134474327628361,-0.0134474327628361,0.50
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.8629353233830845,0.8618905472636816,0.8662189054726369,0.8709452736318408,0.8659203980099504,0.8686069651741295,0.0970149253731343,0.1094527363184079,0.236318407960199,0.2263681592039801,rh_context,0.8709452736318408,-0.0002985074626865,-0.0023383084577113,-0.0023383084577113,0.02
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358208,0.8681592039800995,0.8599502487562188,0.8633084577114428,0.8664179104477612,0.8667910447761193,0.8635572139303483,0.0970149253731343,0.0845771144278607,0.126865671641791,0.1417910447761194,conf,0.8681592039800995,0.0034825870646765,-0.0028606965174128,0.0003731343283581,0.05
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995024,0.8619402985074627,0.8567164179104477,0.8512437810945274,0.8507462686567164,0.8604477611940299,0.8557213930348259,0.044776119402985,0.0248756218905472,0.126865671641791,0.099502487562189,conf,0.8619402985074627,0.0092039800995025,0.0049751243781094,0.0092039800995025,0.10
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268656,0.8492537313432836,0.8502487562189055,0.854228855721393,0.853731343283582,0.8477611940298507,0.8477611940298506,0.0074626865671641,0.0099502487562189,0.126865671641791,0.0522388059701492,knn_context,0.854228855721393,-0.0064676616915422,-0.0059701492537314,-0.0064676616915422,0.20
0.3,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.5407960199004975,0.8967661691542289,0.8532338308457711,0.845771144278607,0.8534825870646767,0.8517412935323383,0.8517412935323383,0.8532338308457711,0.0074626865671641,0.0049751243781094,0.0298507462686567,0.0248756218905472,knn_context,0.8534825870646767,-0.0017412935323384,0.0014925373134327,-0.0002487562189056,0.30
0.5,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.3407960199004974,0.8843283582089553,0.8532338308457711,0.8395522388059702,0.8532338308457711,0.8532338308457711,0.849502487562189,0.8544776119402985,0.0,0.0,0.0223880597014925,0.0074626865671641,rh_context_latent,0.8544776119402985,-0.003731343283582,0.0012437810945273,0.0012437810945273,0.50
0.02,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7984019370460048,0.892590799031477,0.7759322033898306,0.7699273607748185,0.8065375302663439,0.8018401937046007,0.8057627118644068,0.7963680387409202,0.4721549636803874,0.4648910411622276,0.2687651331719128,0.2542372881355932,knn_context,0.8065375302663439,-0.000774818401937,-0.0054721549636804,-0.000774818401937,0.02
0.05,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7684019370460048,0.8876513317191284,0.7703389830508474,0.7662227602905569,0.7796610169491526,0.7878934624697336,0.7976997578692494,0.7938256658595643,0.3389830508474576,0.4648910411622276,0.2687651331719128,0.2493946731234866,knn_context_latent,0.7976997578692494,0.0180387409200968,0.0059322033898306,0.0098062953995158,0.05
0.1,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7184019370460049,0.8794188861985474,0.7561743341404358,0.7547215496368039,0.7627118644067796,0.7602905569007264,0.7803874092009685,0.78135593220339,0.3389830508474576,0.3147699757869249,0.162227602905569,0.2493946731234866,rh_context_latent,0.78135593220339,0.0176755447941888,0.0210653753026635,0.0186440677966103,0.10
0.2,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.6184019370460048,0.8629539951573849,0.7312348668280871,0.7443099273607747,0.7288135593220338,0.7278450363196126,0.7457627118644068,0.7341404358353512,0.3389830508474576,0.162227602905569,0.0847457627118644,0.0581113801452784,knn_context_latent,0.7457627118644068,0.0169491525423729,0.0062953995157385,0.0169491525423729,0.20
0.3,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.5184019370460049,0.8464891041162228,0.7312348668280871,0.7278450363196126,0.7249394673123486,0.712590799031477,0.7372881355932204,0.7329297820823244,0.1501210653753026,0.1428571428571428,0.0847457627118644,0.0024213075060532,knn_context_latent,0.7372881355932204,0.0123486682808717,0.0203389830508473,0.0123486682808717,0.30
0.5,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.3184019370460048,0.8135593220338984,0.7312348668280871,0.7094430992736077,0.7324455205811138,0.7324455205811138,0.7215496368038741,0.7312348668280871,0.0024213075060532,0.0024213075060532,0.0484261501210653,0.0,knn_context,0.7324455205811138,-0.0108958837772397,-0.0012106537530266,-0.0012106537530266,0.50
