lambda,variant,method,utility,delta,delta_lo,delta_hi,stable,oracle_gap
0.0,"3-block, H=36",rf_oracle_label,0.8973105134474327,0.0,-0.0268948655256723,0.0244498777506112,False,0.0611246943765281
0.0,"3-block, H=48",ridge_expected_utility,0.917910447761194,0.0348258706467661,0.0124378109452736,0.0597014925373134,True,0.0348258706467662
0.0,"3-block, H=72",rf_expected_utility,0.8523002421307506,0.009685230024213,-0.0121065375302663,0.0338983050847457,False,0.0895883777239708
0.05,"3-block, H=36",rf_oracle_label,0.8858575923554791,-0.0014019751451488,-0.0283703533171383,0.0255705265421499,False,0.0631042377361281
0.05,"3-block, H=48",ridge_expected_utility,0.9063478621658676,0.0423951404799428,0.0193282583411887,0.067461720639019,True,0.0363284989278259
0.05,"3-block, H=72",rf_expected_utility,0.8316027287081643,0.00811957203013,-0.0142135975915054,0.0302669235440825,False,0.099747622460378
0.1,"3-block, H=36",rf_oracle_label,0.8744046712635253,-0.0028039502902978,-0.0284996113147034,0.0232838194219515,False,0.0650837810957282
0.1,"3-block, H=48",ridge_expected_utility,0.8941668794904026,0.0446389149385393,0.0248539258182065,0.0665317772820074,True,0.0384495242890239
0.1,"3-block, H=72",rf_expected_utility,0.8125413251231715,0.0081900238736403,-0.0156672729099424,0.0328273510235677,False,0.1082707573591912
0.2,"3-block, H=36",rf_expected_utility,0.8515408674062568,-0.0060621794096426,-0.02816439302991,0.0154636608062439,False,0.0690008294882895
0.2,"3-block, H=48",ridge_expected_utility,0.8626902974534433,0.031793572329816,0.0148688240254987,0.0507937855884801,True,0.0498061916974496
0.2,"3-block, H=72",rf_expected_utility,0.7863520315835958,0.0076338809001165,-0.0236102537480967,0.0382716469150968,False,0.113383513526408
0.3,"3-block, H=36",rf_expected_utility,0.8304437649229531,-0.0085280424647105,-0.0301224964303176,0.0121222250350476,False,0.0711511765068864
0.3,"3-block, H=48",ridge_expected_utility,0.8417476283370285,0.029482142641637,0.0137796981277624,0.0465587046807233,True,0.050628946185331
0.3,"3-block, H=72",rf_expected_utility,0.7608287415794952,0.0007418303242515,-0.0290451442106267,0.0300317465815438,False,0.1178302661581501
