lambda,variant,Tiny_utility_mean,Tiny_utility_std,Small_utility_mean,Small_utility_std,Medium_utility_mean,Medium_utility_std,Full_utility_mean,Full_utility_std,best
0.0,"3-block, H=36",0.876121,0.0210800029648954,0.8687860000000001,0.0249741321170526,0.8785660000000001,0.013902858519024,0.854931,0.0237471477234635,Medium
0.0,"3-block, H=48",0.853234,0.0197442971260058,0.8673299999999999,0.0165628665393403,0.883914,0.0014358701194746,0.8723053333333333,0.0299888714248025,Medium
0.0,"3-block, H=72",0.8095236666666666,0.0319698982534091,0.7917676666666668,0.0593590500710156,0.8288943333333334,0.0161218899739867,0.8079096666666666,0.0109184090568787,Medium
0.05,"3-block, H=36",0.866805380285882,0.0210800029648954,0.8587350540531952,0.0249741321170526,0.8594341445714968,0.013902858519024,0.804931,0.0237471477234635,Tiny
0.05,"3-block, H=48",0.843918380285882,0.0197442971260058,0.8572790540531953,0.0165628665393403,0.8647821445714969,0.0014358701194746,0.8223053333333333,0.0299888714248025,Medium
0.05,"3-block, H=72",0.8002080469525487,0.0319698982534091,0.7817167207198619,0.0593590500710156,0.8097624779048301,0.0161218899739867,0.7579096666666666,0.0109184090568787,Medium
0.1,"3-block, H=36",0.857489760571764,0.0210800029648954,0.8486841081063904,0.0249741321170526,0.8403022891429935,0.0139028585190241,0.754931,0.0237471477234635,Tiny
0.1,"3-block, H=48",0.8346027605717641,0.0197442971260058,0.8472281081063905,0.0165628665393403,0.8456502891429936,0.0014358701194746,0.7723053333333333,0.0299888714248024,Small
0.1,"3-block, H=72",0.7908924272384307,0.0319698982534091,0.7716657747730572,0.0593590500710156,0.790630622476327,0.0161218899739866,0.7079096666666667,0.0109184090568787,Tiny
0.2,"3-block, H=36",0.838858521143528,0.0210800029648954,0.8285822162127809,0.0249741321170526,0.8020385782859871,0.013902858519024,0.654931,0.0237471477234635,Tiny
0.2,"3-block, H=48",0.815971521143528,0.0197442971260057,0.8271262162127808,0.0165628665393403,0.8073865782859873,0.0014358701194746,0.6723053333333334,0.0299888714248025,Small
0.2,"3-block, H=72",0.7722611878101947,0.0319698982534091,0.7515638828794476,0.0593590500710156,0.7523669116193205,0.0161218899739867,0.6079096666666667,0.0109184090568787,Tiny
