lambda,heldout,variant_label,method,fixed_model,utility,top1,latency,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_utility,oracle_gap,select_Tiny,select_Small,select_Medium,select_Full,n
0.0,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Medium,0.8867155664221679,0.8867155664221679,0.3071011384060374,0.0081499592502037,-0.0032599837000814,0.0211898940505297,False,0.9470252648736756,0.0603096984515078,0.3325183374083129,0.3390383048084759,0.2453137734311328,0.0831295843520782,1227
0.05,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8783972210964597,0.8907905460472698,0.2478664990162022,0.0115922214136746,-0.0134802309317316,0.0399458431359254,False,0.9372904449135342,0.0588932238170745,0.3512632436837816,0.3651181744091279,0.2828035859820701,0.0008149959250203,1227
0.1,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8690076153122898,0.8932355338223309,0.2422791851004115,0.0115182353436227,-0.011276925022971,0.0357754114877241,False,0.9275556249533924,0.0585480096411025,0.3748981255093724,0.367563162184189,0.2575387123064385,0.0,1227
0.2,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8420650519504943,0.8883455582722086,0.2314025316085708,0.0032069114100634,-0.0192652037275965,0.0282544850437877,False,0.9080859850331092,0.066020933082615,0.4099429502852486,0.3895680521597392,0.2004889975550122,0.0,1227
0.3,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,Tiny,0.8177516957145149,0.8850855745721271,0.2244462628587071,-0.00247520539768,-0.0264569104637077,0.0221725460173661,False,0.8886163451128264,0.0708646493983115,0.4400977995110024,0.3952730236348818,0.1646291768541157,0.0,1227
0.0,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Medium,0.9104477611940298,0.9104477611940298,0.2501558402695074,0.0265339966832504,0.0082918739635157,0.044776119402985,True,0.9494195688225538,0.038971807628524,0.7280265339966833,0.0157545605306799,0.2346600331674958,0.0215588723051409,1206
0.05,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Medium,0.8998086592884958,0.9112769485903814,0.2293657860377096,0.0350267502062196,0.0173427108135375,0.0527141877604352,True,0.9392065497769636,0.0393978904884677,0.7553897180762852,0.0273631840796019,0.2172470978441127,0.0,1206
0.1,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Small,0.8911697911308923,0.913764510779436,0.2259471964854362,0.0439416664407541,0.0120233496842855,0.073302076793065,True,0.9289935307313736,0.0378237396004811,0.7728026533996684,0.0273631840796019,0.1998341625207297,0.0,1206
0.2,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Small,0.8731567051155018,0.9170812603648424,0.2196227762467024,0.0460304723189731,0.0151875047859874,0.0749105387845845,True,0.9085674926401932,0.0354107875246912,0.8034825870646766,0.0290215588723051,0.1674958540630182,0.0,1206
0.3,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,Small,0.8537255333009255,0.9170812603648424,0.2111857568797225,0.0467011923980064,0.0180254902707864,0.0726467967617779,True,0.8881414545490128,0.0344159212480873,0.824212271973466,0.0530679933665008,0.1227197346600331,0.0,1206
0.0,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,Medium,0.8208232445520581,0.8208232445520581,0.8464431957808506,-0.0080710250201775,-0.0379338175948345,0.0218119451170299,False,0.9354317998385796,0.1146085552865213,0.0,0.003228410008071,0.2445520581113801,0.7522195318805488,1239
0.05,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,Medium,0.8119684932591006,0.8305084745762712,0.3707996263434104,0.0022060791153681,-0.0104160142381957,0.0176075774466022,False,0.925078210793998,0.1131097175348972,0.0669895076674737,0.1162227602905569,0.7804681194511703,0.036319612590799,1239
0.1,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,Tiny,0.8060641371133843,0.8353510895883777,0.2928695247499323,0.0151715670178109,-0.0225029020138133,0.0576458287232405,False,0.9147246217494168,0.1086604846360324,0.1275221953188055,0.3591606133979015,0.5125100887812752,0.0008071025020177,1239
0.2,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,Tiny,0.7878230737458299,0.8393866020984665,0.2578176417631829,0.0155617430784924,-0.0286413049231402,0.0685014761646018,False,0.8940174436602544,0.1061943699144244,0.1646489104116222,0.5092816787732042,0.3260694108151735,0.0,1239
0.3,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,Tiny,0.7632030818446992,0.8353510895883777,0.2404933591455951,0.0095729906055976,-0.0357772417350875,0.0675950782316698,False,0.8733102655710914,0.1101071837263921,0.1864406779661017,0.5811138014527845,0.2324455205811138,0.0,1239
