seed,split,bin,n,alpha_raw_mean,alpha_affine_mean,alpha_oracle_mean,global_error,affine_error,oracle_error,affine_improvement_vs_global,oracle_improvement_vs_global
0,val,0,1089,0.29633716,0.3214872,0.18249215,0.9176136,0.91710985,0.8967913,0.00050377846,0.020822346
0,val,1,1089,0.36766395,0.33147296,0.22576207,1.0903077,1.090147,1.0692022,0.00016069412,0.021105528
0,val,2,1089,0.4266328,0.3397286,0.242422,1.1603172,1.160197,1.1399217,0.000120162964,0.020395517
0,val,3,1089,0.490642,0.34868988,0.31326216,1.4417633,1.4418713,1.4157712,-0.000108003616,0.025992036
0,val,4,1089,0.5520951,0.3572933,0.30400836,1.4240214,1.4240432,1.4002016,-2.18153e-05,0.023819804
0,val,5,1089,0.612148,0.36570072,0.2932909,1.5198996,1.5198797,1.4974225,1.9907951e-05,0.02247715
0,val,6,1089,0.67642075,0.3746989,0.3091745,1.5682175,1.5681643,1.5454835,5.3167343e-05,0.022734046
0,val,7,1089,0.7400815,0.38361138,0.33338204,1.6976174,1.6974643,1.6730784,0.00015306473,0.024538994
0,val,8,1089,0.8097973,0.3933716,0.3285916,1.7477211,1.7476076,1.7234666,0.000113487244,0.024254441
0,val,9,1089,0.92635417,0.40968958,0.29165387,1.6595992,1.6600597,1.6368294,-0.0004605055,0.022769809
0,test,0,5098,0.30632618,0.32288566,0.20423968,1.1757556,1.1754092,1.1592282,0.0003464222,0.016527414
0,test,1,5098,0.39056963,0.33467975,0.22781979,1.3214616,1.3212951,1.3038564,0.00016641617,0.017605186
0,test,2,5098,0.4544683,0.34362555,0.22512066,1.2999239,1.2997657,1.2836628,0.00015819073,0.0162611
0,test,3,5098,0.51418823,0.35198635,0.24828325,1.4400762,1.4400277,1.4232093,4.851818e-05,0.016866922
0,test,4,5098,0.57226986,0.3601178,0.26581353,1.4842654,1.4842656,1.4675663,-1.1920929e-07,0.016699195
0,test,5,5098,0.62823516,0.3679529,0.28811425,1.6465983,1.646597,1.6289912,1.3113022e-06,0.017607093
0,test,6,5098,0.68229896,0.37552184,0.30143324,1.775455,1.7754399,1.7569509,1.513958e-05,0.018504143
0,test,7,5098,0.7402561,0.38363588,0.32453036,1.8735193,1.873426,1.8544744,9.3340874e-05,0.019044876
0,test,8,5098,0.8053228,0.3927452,0.3292426,1.9245641,1.924491,1.9060789,7.3075294e-05,0.018485188
0,test,9,5098,0.91312015,0.40783682,0.34077567,2.0466263,2.0465918,2.0276296,3.4570694e-05,0.018996716
