split,method,error,identity_error,improvement_vs_identity,ratio_vs_identity,alpha_mean,alpha_std
val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0
val,raw_residual_alpha_1,1.451741099357605,1.4321844577789307,-0.019556641578674316,1.013655113677887,1.0,0.0
val,global_alpha_val,1.4227076768875122,1.4321844577789307,0.009476780891418457,0.9933829885948383,0.36,0.0
val,conditional_alpha_raw,1.428849697113037,1.4321844577789307,0.0033347606658935547,0.9976715564480673,0.589817225933075,0.19288021326065063
val,conditional_alpha_mixed_with_global,1.42267906665802,1.4321844577789307,0.009505391120910645,0.9933630119575156,0.3737890124320984,0.011572813615202904
val,oracle_per_sample_alpha,1.399816870689392,1.4321844577789307,0.032367587089538574,0.9773998475449628,0.28240397572517395,0.35146254301071167
test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0
test,raw_residual_alpha_1,1.628799319267273,1.6069767475128174,-0.021822571754455566,1.0135798926700286,1.0,0.0
test,global_alpha_val,1.5988246202468872,1.6069767475128174,0.008152127265930176,0.9949270409304009,0.36,0.0
test,conditional_alpha_raw,1.6051760911941528,1.6069767475128174,0.0018006563186645508,0.9988794758098077,0.6007055640220642,0.1825082153081894
test,conditional_alpha_mixed_with_global,1.5988178253173828,1.6069767475128174,0.00815892219543457,0.9949228125372303,0.37444233894348145,0.010950492694973946
test,oracle_per_sample_alpha,1.581164836883545,1.6069767475128174,0.02581191062927246,0.9839375954448485,0.27553728222846985,0.32812729477882385
