split,method,seeds,error,identity_error,improvement_vs_identity,ratio_vs_identity,alpha_mean,alpha_std
val,identity,3,1.432184 ± 0.000000,1.432184 ± 0.000000,0.000000 ± 0.000000,1.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000
val,raw_residual_alpha_1,3,1.450387 ± 0.001945,1.432184 ± 0.000000,-0.018202 ± 0.001945,1.012709 ± 0.001358,1.000000 ± 0.000000,0.000000 ± 0.000000
val,global_alpha_val,3,1.423276 ± 0.000640,1.432184 ± 0.000000,0.008908 ± 0.000640,0.993780 ± 0.000447,0.363333 ± 0.015275,0.000000 ± 0.000000
val,conditional_alpha_raw,3,1.428085 ± 0.000669,1.432184 ± 0.000000,0.004099 ± 0.000669,0.997138 ± 0.000467,0.576057 ± 0.020150,0.188775 ± 0.003828
val,conditional_alpha_mixed_with_global,3,1.423215 ± 0.000597,1.432184 ± 0.000000,0.008970 ± 0.000597,0.993737 ± 0.000417,0.383562 ± 0.013131,0.018149 ± 0.007262
val,conditional_alpha_affine_calibrated,3,1.423143 ± 0.000558,1.432184 ± 0.000000,0.009042 ± 0.000558,0.993687 ± 0.000389,0.362877 ± 0.011623,0.042573 ± 0.015232
val,oracle_per_sample_alpha,3,1.401878 ± 0.001973,1.432184 ± 0.000000,0.030307 ± 0.001973,0.978839 ± 0.001378,0.279759 ± 0.004356,0.348782 ± 0.002527
test,identity,3,1.606977 ± 0.000000,1.606977 ± 0.000000,0.000000 ± 0.000000,1.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000
test,raw_residual_alpha_1,3,1.625385 ± 0.004366,1.606977 ± 0.000000,-0.018408 ± 0.004366,1.011455 ± 0.002717,1.000000 ± 0.000000,0.000000 ± 0.000000
test,global_alpha_val,3,1.599317 ± 0.000579,1.606977 ± 0.000000,0.007659 ± 0.000579,0.995234 ± 0.000360,0.363333 ± 0.015275,0.000000 ± 0.000000
test,conditional_alpha_raw,3,1.603746 ± 0.002135,1.606977 ± 0.000000,0.003231 ± 0.002135,0.997989 ± 0.001329,0.575409 ± 0.034478,0.177515 ± 0.004374
test,conditional_alpha_mixed_with_global,3,1.599270 ± 0.000631,1.606977 ± 0.000000,0.007707 ± 0.000631,0.995204 ± 0.000393,0.383115 ± 0.013646,0.017057 ± 0.006816
test,conditional_alpha_affine_calibrated,3,1.599164 ± 0.000555,1.606977 ± 0.000000,0.007812 ± 0.000555,0.995139 ± 0.000345,0.361953 ± 0.014795,0.040003 ± 0.014255
test,oracle_per_sample_alpha,3,1.583025 ± 0.001635,1.606977 ± 0.000000,0.023952 ± 0.001635,0.985095 ± 0.001018,0.280606 ± 0.010108,0.330014 ± 0.004503
