system,dims,chance,acc
clean_action,full_state,0.2,0.9866666666666667
clean_action,agent_only,0.2,1.0
clean_action,block_only,0.2,0.5606666666666666
clean_action,block_xy,0.2,0.56
clean_action,block_theta,0.2,0.30933333333333335
zero_action,full_state,0.2,0.2
zero_action,agent_only,0.2,0.2
zero_action,block_only,0.2,0.2
zero_action,block_xy,0.2,0.2
zero_action,block_theta,0.2,0.2
neg_action,full_state,0.2,0.14466666666666667
neg_action,agent_only,0.2,0.136
neg_action,block_only,0.2,0.182
neg_action,block_xy,0.2,0.182
neg_action,block_theta,0.2,0.20466666666666666
shuffled_action,full_state,0.2,0.18333333333333332
shuffled_action,agent_only,0.2,0.18333333333333332
shuffled_action,block_only,0.2,0.20266666666666666
shuffled_action,block_xy,0.2,0.20266666666666666
shuffled_action,block_theta,0.2,0.19933333333333333
random_action,full_state,0.2,0.20733333333333334
random_action,agent_only,0.2,0.214
random_action,block_only,0.2,0.20133333333333334
random_action,block_xy,0.2,0.20133333333333334
random_action,block_theta,0.2,0.21333333333333335
pred_shuffled,full_state,0.2,0.182
pred_shuffled,agent_only,0.2,0.182
pred_shuffled,block_only,0.2,0.18933333333333333
pred_shuffled,block_xy,0.2,0.188
pred_shuffled,block_theta,0.2,0.21133333333333335
