state_id,side,mean_future_xy_spread,max_future_xy_spread,contact_action_count,moving_contact_action_count,strong_displacement_action_count,rotation_action_count,nondegenerate,contact_mode_nontrivial
0,left,0.059118449687957764,0.1477961242198944,1,1,1,1,1,1
1,right,0.0,0.0,0,0,0,0,0,0
2,back,0.05081518888473511,0.12703797221183777,1,1,1,0,1,1
3,front,0.017098557949066163,0.042746394872665405,1,1,0,1,1,1
4,left,0.02657545208930969,0.06643863022327423,1,1,1,0,1,1
5,right,0.06390370726585388,0.1597592681646347,1,1,1,1,1,1
6,back,0.055547797679901124,0.1388694941997528,1,1,1,0,1,1
7,front,0.0,0.0,0,0,0,0,0,0
8,left,0.030671173334121705,0.07667793333530426,1,1,1,1,1,1
9,right,0.07195994853973389,0.17989987134933472,1,1,1,0,1,1
10,back,0.0,0.0,0,0,0,0,0,0
11,front,0.04200118482112884,0.10500296205282211,1,1,1,0,1,1
12,left,0.05847349166870117,0.14618372917175293,1,1,1,0,1,1
13,right,0.057435238361358644,0.1435880959033966,1,1,1,0,1,1
14,back,0.0,0.0,0,0,0,0,0,0
15,front,0.07496863603591919,0.18742159008979797,1,1,1,0,1,1
16,left,0.0,0.0,0,0,0,0,0,0
17,right,0.02225643992424011,0.05564109981060028,1,1,0,1,1,1
18,back,0.031681403517723083,0.07920350879430771,1,1,1,1,1,1
19,front,0.07478906512260437,0.18697266280651093,1,1,1,0,1,1
20,left,0.03346282541751862,0.08365706354379654,1,1,1,1,1,1
21,right,0.081177818775177,0.2029445469379425,1,1,1,0,1,1
22,back,0.06937333345413207,0.1734333336353302,1,1,1,0,1,1
23,front,0.025375017523765565,0.06343754380941391,1,1,1,1,1,1
24,left,0.08164083361625671,0.20410208404064178,1,1,1,0,1,1
25,right,0.06568230390548706,0.16420575976371765,1,1,1,0,1,1
26,back,0.066267329454422,0.165668323636055,1,1,1,0,1,1
27,front,0.042990225553512576,0.10747556388378143,1,1,1,0,1,1
28,left,0.0,0.0,0,0,0,0,0,0
29,right,0.07635953426361083,0.1908988356590271,1,1,1,0,1,1
30,back,0.06450948119163513,0.16127370297908783,1,1,1,0,1,1
31,front,0.0,0.0,0,0,0,0,0,0
32,left,0.0002795480890199542,0.0006988702225498855,1,1,0,0,0,1
33,right,0.04008453786373138,0.10021134465932846,1,1,1,0,1,1
34,back,0.08207422494888306,0.20518556237220764,1,1,1,1,1,1
35,front,0.08619297742843628,0.2154824435710907,1,1,1,0,1,1
36,left,0.06564906239509583,0.16412265598773956,1,1,1,1,1,1
37,right,0.022922690212726592,0.05730672553181648,1,1,0,1,1,1
38,back,0.046936559677124026,0.11734139919281006,1,1,1,0,1,1
39,front,0.08208659291267395,0.20521648228168488,1,1,1,0,1,1
40,left,0.05758457183837891,0.14396142959594727,1,1,1,0,1,1
41,right,0.0,0.0,0,0,0,0,0,0
42,back,0.0,0.0,0,0,0,0,0,0
43,front,0.0,0.0,0,0,0,0,0,0
44,left,0.055418658256530764,0.1385466456413269,1,1,1,0,1,1
45,right,0.08781841397285461,0.21954603493213654,1,1,1,0,1,1
46,back,0.0627998411655426,0.1569996029138565,1,1,1,1,1,1
47,front,0.07497541308403015,0.18743853271007538,1,1,1,0,1,1
48,left,0.0,0.0,0,0,0,0,0,0
49,right,0.03897749185562134,0.09744372963905334,1,1,1,1,1,1
50,back,0.04717076122760773,0.11792690306901932,1,1,1,0,1,1
51,front,0.03658879101276398,0.09147197753190994,1,1,1,0,1,1
52,left,0.03218376934528351,0.08045942336320877,1,1,1,1,1,1
53,right,0.06350476145744324,0.1587619036436081,1,1,1,1,1,1
54,back,0.0,0.0,0,0,0,0,0,0
55,front,0.08703630566596984,0.21759076416492462,1,1,1,0,1,1
56,left,0.04902462065219879,0.12256155163049698,1,1,1,0,1,1
57,right,0.066547691822052,0.16636922955513,1,1,1,0,1,1
58,back,0.05325081944465637,0.13312704861164093,1,1,1,1,1,1
59,front,0.08858267068862916,0.22145667672157288,1,1,1,0,1,1
60,left,0.018182334303855897,0.04545583575963974,1,1,0,1,1,1
61,right,0.0,0.0,0,0,0,0,0,0
62,back,0.04482696056365967,0.11206740140914917,1,1,1,1,1,1
63,front,0.06099763512611389,0.15249408781528473,1,1,1,0,1,1
64,left,0.03074502944946289,0.07686257362365723,1,1,1,1,1,1
65,right,0.05511930584907532,0.1377982646226883,1,1,1,1,1,1
66,back,0.0,0.0,0,0,0,0,0,0
67,front,0.08449208736419678,0.21123021841049194,1,1,1,0,1,1
68,left,0.05448050498962402,0.13620126247406006,1,1,1,0,1,1
69,right,0.0,0.0,0,0,0,0,0,0
70,back,0.035732635855674745,0.08933158963918686,1,1,1,0,1,1
71,front,0.0009549693204462528,0.002387423301115632,1,1,0,0,0,1
72,left,0.0628933072090149,0.15723326802253723,1,1,1,1,1,1
73,right,0.002666174806654453,0.006665437016636133,1,1,0,0,0,1
74,back,0.039882788062095643,0.0997069701552391,1,1,1,1,1,1
75,front,0.07147611379623413,0.17869028449058533,1,1,1,1,1,1
76,left,0.055616956949234006,0.13904239237308502,1,1,1,0,1,1
77,right,0.06662521362304688,0.1665630340576172,1,1,1,0,1,1
78,back,0.0,0.0,0,0,0,0,0,0
79,front,0.052014774084091185,0.13003693521022797,1,1,1,0,1,1
80,left,0.0,0.0,0,0,0,0,0,0
81,right,0.006477438478896147,0.01619325391948223,1,1,0,1,0,1
82,back,0.03774541318416595,0.09436353296041489,1,1,1,1,1,1
83,front,0.0,0.0,0,0,0,0,0,0
84,left,0.04240829348564148,0.1060207337141037,1,1,1,0,1,1
85,right,0.06288459897041321,0.15721149742603302,1,1,1,0,1,1
86,back,0.0,0.0,0,0,0,0,0,0
87,front,0.04037940800189972,0.1009485200047493,1,1,1,1,1,1
88,left,0.0626963198184967,0.15674079954624176,1,1,1,0,1,1
89,right,0.04721004962921142,0.11802512407302856,1,1,1,1,1,1
90,back,0.004781897738575935,0.011954744346439838,1,1,0,1,0,1
91,front,0.0,0.0,0,0,0,0,0,0
92,left,0.02418849915266037,0.060471247881650925,1,1,1,1,1,1
93,right,0.06178742051124573,0.15446855127811432,1,1,1,1,1,1
94,back,0.06531319618225098,0.16328299045562744,1,1,1,0,1,1
95,front,0.0,0.0,0,0,0,0,0,0
96,left,0.06034020185470581,0.15085050463676453,1,1,1,0,1,1
97,right,0.0,0.0,0,0,0,0,0,0
98,back,0.006706664711236954,0.016766661778092384,1,1,0,0,0,1
99,front,0.05840209126472473,0.14600522816181183,1,1,1,0,1,1
100,left,0.03038630783557892,0.0759657695889473,1,1,1,1,1,1
101,right,0.08283783197402954,0.20709457993507385,1,1,1,0,1,1
102,back,0.06482633352279663,0.16206583380699158,1,1,1,0,1,1
103,front,0.07611335515975952,0.1902833878993988,1,1,1,1,1,1
104,left,0.0,0.0,0,0,0,0,0,0
105,right,0.03182128965854645,0.07955322414636612,1,1,1,1,1,1
106,back,0.04419507086277008,0.1104876771569252,1,1,1,1,1,1
107,front,0.020601008832454682,0.051502522081136703,1,1,0,1,1,1
108,left,0.06001505255699158,0.15003763139247894,1,1,1,0,1,1
109,right,0.06745144128799438,0.16862860321998596,1,1,1,0,1,1
110,back,0.0,0.0,0,0,0,0,0,0
111,front,0.0,0.0,0,0,0,0,0,0
112,left,0.030778557062149048,0.07694639265537262,1,1,1,1,1,1
113,right,0.029420697689056398,0.07355174422264099,1,1,1,0,1,1
114,back,0.07614004611968994,0.19035011529922485,1,1,1,0,1,1
115,front,0.0,0.0,0,0,0,0,0,0
116,left,0.05248771905899048,0.1312192976474762,1,1,1,0,1,1
117,right,0.0,0.0,0,0,0,0,0,0
118,back,0.0,0.0,0,0,0,0,0,0
119,front,0.005981395393610001,0.014953488484025002,1,1,0,0,0,1
120,left,0.0,0.0,0,0,0,0,0,0
121,right,0.032790175080299376,0.08197543770074844,1,1,1,1,1,1
122,back,0.06893041133880615,0.17232602834701538,1,1,1,0,1,1
123,front,0.0,0.0,0,0,0,0,0,0
124,left,0.04294109642505646,0.10735274106264114,1,1,1,1,1,1
125,right,0.011596778035163879,0.0289919450879097,1,1,0,0,1,1
126,back,0.027590569853782655,0.06897642463445663,1,1,1,0,1,1
127,front,0.05655508637428284,0.1413877159357071,1,1,1,0,1,1
128,left,0.0,0.0,0,0,0,0,0,0
129,right,0.01631695032119751,0.040792375802993774,1,1,0,0,1,1
130,back,0.0,0.0,0,0,0,0,0,0
131,front,0.07112089395523072,0.17780223488807678,1,1,1,0,1,1
132,left,0.06818557381629944,0.1704639345407486,1,1,1,1,1,1
133,right,0.03807647824287415,0.09519119560718536,1,1,1,1,1,1
134,back,0.0,0.0,0,0,0,0,0,0
135,front,0.0371881365776062,0.0929703414440155,1,1,1,1,1,1
136,left,0.04490864276885986,0.11227160692214966,1,1,1,0,1,1
137,right,0.03454252183437347,0.08635630458593369,1,1,1,1,1,1
138,back,0.0,0.0,0,0,0,0,0,0
139,front,0.016323255002498628,0.04080813750624657,1,1,0,1,1,1
140,left,0.006160422787070274,0.015401056967675686,1,1,0,1,0,1
141,right,0.059562849998474124,0.1489071249961853,1,1,1,0,1,1
142,back,0.0,0.0,0,0,0,0,0,0
143,front,0.08295844793319702,0.20739611983299255,1,1,1,0,1,1
144,left,0.033639758825302124,0.08409939706325531,1,1,1,1,1,1
145,right,0.060870909690856935,0.15217727422714233,1,1,1,1,1,1
146,back,0.04334908127784729,0.10837270319461823,1,1,1,1,1,1
147,front,0.08858563899993896,0.2214640974998474,1,1,1,0,1,1
148,left,0.0,0.0,0,0,0,0,0,0
149,right,0.0035521156791674,0.008879548870027065,1,1,0,1,0,1
150,back,0.0,0.0,1,1,0,0,0,1
151,front,0.04945518970489502,0.12363797426223755,1,1,1,1,1,1
152,left,0.06639655828475952,0.1659913957118988,1,1,1,0,1,1
153,right,0.08410035967826843,0.21025089919567108,1,1,1,0,1,1
154,back,0.08145380020141602,0.20363450050354004,1,1,1,0,1,1
155,front,0.07258796691894531,0.18146991729736328,1,1,1,1,1,1
156,left,0.021644343435764313,0.05411085858941078,1,1,0,1,1,1
157,right,0.07082431316375733,0.1770607829093933,1,1,1,0,1,1
158,back,0.0698201060295105,0.17455026507377625,1,1,1,0,1,1
159,front,0.03266361653804779,0.08165904134511948,1,1,1,1,1,1
160,left,0.025137144327163696,0.06284286081790924,1,1,1,1,1,1
161,right,0.011452855169773101,0.028632137924432755,1,1,0,1,1,1
162,back,0.016913795471191408,0.042284488677978516,1,1,0,1,1,1
163,front,0.06744177341461181,0.16860443353652954,1,1,1,0,1,1
164,left,0.03433738946914673,0.08584347367286682,1,1,1,0,1,1
165,right,0.008591992408037185,0.021479981020092964,1,1,0,1,1,1
166,back,0.07608504295349121,0.19021260738372803,1,1,1,0,1,1
167,front,0.05462114810943604,0.1365528702735901,1,1,1,0,1,1
168,left,0.013736778497695923,0.03434194624423981,1,1,0,0,1,1
169,right,0.0,0.0,0,0,0,0,0,0
170,back,0.05332274436950683,0.1333068609237671,1,1,1,1,1,1
171,front,0.07839656472206116,0.1959914118051529,1,1,1,0,1,1
172,left,0.008409608900547028,0.02102402225136757,1,1,0,0,1,1
173,right,0.013401900231838227,0.033504750579595566,1,1,0,1,1,1
174,back,0.05535473227500916,0.1383868306875229,1,1,1,1,1,1
175,front,0.038642242550849915,0.09660560637712479,1,1,1,0,1,1
176,left,0.06607866883277894,0.16519667208194733,1,1,1,0,1,1
177,right,0.006476999074220657,0.016192497685551643,1,1,0,1,0,1
178,back,0.0011725589632987977,0.002931397408246994,1,1,0,0,0,1
179,front,0.022851589322090148,0.05712897330522537,1,1,0,0,1,1
180,left,0.06959158182144165,0.17397895455360413,1,1,1,0,1,1
181,right,0.05855758190155029,0.14639395475387573,1,1,1,0,1,1
182,back,0.0635087251663208,0.158771812915802,1,1,1,0,1,1
183,front,0.01604647934436798,0.04011619836091995,1,1,0,0,1,1
184,left,0.0,0.0,0,0,0,0,0,0
185,right,0.039751744270324706,0.09937936067581177,1,1,1,0,1,1
186,back,0.04845233857631683,0.12113084644079208,1,1,1,0,1,1
187,front,0.0,0.0,0,0,0,0,0,0
188,left,0.06270660161972046,0.15676650404930115,1,1,1,0,1,1
189,right,0.07902178168296814,0.19755445420742035,1,1,1,0,1,1
190,back,0.05320846438407898,0.13302116096019745,1,1,1,1,1,1
191,front,0.0707072913646698,0.1767682284116745,1,1,1,0,1,1
192,left,0.08372218608856201,0.20930546522140503,1,1,1,0,1,1
193,right,0.0,0.0,0,0,0,0,0,0
194,back,0.04340042173862457,0.10850105434656143,1,1,1,0,1,1
195,front,0.005459331348538399,0.013648328371345997,1,1,0,1,0,1
196,left,0.04485597610473633,0.11213994026184082,1,1,1,1,1,1
197,right,0.064840430021286,0.16210107505321503,1,1,1,0,1,1
198,back,0.0789126455783844,0.197281613945961,1,1,1,0,1,1
199,front,0.0,0.0,0,0,0,0,0,0
200,left,0.06967717409133911,0.17419293522834778,1,1,1,1,1,1
201,right,0.051490455865859985,0.12872613966464996,1,1,1,0,1,1
202,back,0.018327532708644866,0.04581883177161217,1,1,0,1,1,1
203,front,0.06545398235321045,0.16363495588302612,1,1,1,0,1,1
204,left,0.003268587961792946,0.008171469904482365,1,1,0,0,0,1
205,right,0.021726273000240326,0.054315682500600815,1,1,0,1,1,1
206,back,0.08314045667648315,0.20785114169120789,1,1,1,0,1,1
207,front,0.06310502886772155,0.1577625721693039,1,1,1,0,1,1
208,left,0.05073626041412353,0.12684065103530884,1,1,1,0,1,1
209,right,0.03261800706386566,0.08154501765966415,1,1,1,1,1,1
210,back,0.06787574291229248,0.1696893572807312,1,1,1,0,1,1
211,front,0.0,0.0,0,0,0,0,0,0
212,left,0.0,0.0,0,0,0,0,0,0
213,right,0.054733991622924805,0.136834979057312,1,1,1,0,1,1
214,back,0.009985806047916412,0.02496451511979103,1,1,0,1,1,1
215,front,0.085574209690094,0.21393552422523499,1,1,1,1,1,1
216,left,0.01296798437833786,0.03241996094584465,1,1,0,1,1,1
217,right,0.06940317749977112,0.1735079437494278,1,1,1,0,1,1
218,back,0.06016029119491577,0.15040072798728943,1,1,1,0,1,1
219,front,0.05656605362892151,0.14141513407230377,1,1,1,0,1,1
220,left,0.0,0.0,0,0,0,0,0,0
221,right,0.0,0.0,0,0,0,0,0,0
222,back,0.02984691858291626,0.07461729645729065,1,1,1,1,1,1
223,front,0.04308490455150604,0.1077122613787651,1,1,1,0,1,1
224,left,0.05456916093826294,0.13642290234565735,1,1,1,0,1,1
225,right,0.056708377599716184,0.14177094399929047,1,1,1,1,1,1
226,back,0.057127082347869874,0.14281770586967468,1,1,1,0,1,1
227,front,0.017594222724437714,0.043985556811094284,1,1,0,1,1,1
228,left,0.020317870378494262,0.05079467594623566,1,1,0,1,1,1
229,right,0.0038574259163397075,0.009643103927373886,1,1,0,1,0,1
230,back,0.08103352189064025,0.20258380472660065,1,1,1,0,1,1
231,front,0.07490531802177429,0.18726329505443573,1,1,1,0,1,1
232,left,0.07037848830223084,0.1759462207555771,1,1,1,0,1,1
233,right,0.061632406711578366,0.15408101677894592,1,1,1,1,1,1
234,back,0.0,0.0,0,0,0,0,0,0
235,front,0.06147641539573669,0.15369103848934174,1,1,1,0,1,1
236,left,0.08005983233451844,0.20014958083629608,1,1,1,0,1,1
237,right,0.0372417151927948,0.093104287981987,1,1,1,0,1,1
238,back,0.07520041465759278,0.18800103664398193,1,1,1,0,1,1
239,front,0.04665724337100983,0.11664310842752457,1,1,1,1,1,1
240,left,0.06829359531402587,0.1707339882850647,1,1,1,0,1,1
241,right,0.067388254404068,0.16847063601016998,1,1,1,1,1,1
242,back,0.05706944465637207,0.14267361164093018,1,1,1,0,1,1
243,front,0.055026513338088986,0.13756628334522247,1,1,1,0,1,1
244,left,0.0,0.0,0,0,0,0,0,0
245,right,0.0394724428653717,0.09868110716342926,1,1,1,1,1,1
246,back,0.030023178458213805,0.07505794614553452,1,1,1,1,1,1
247,front,0.038465043902397154,0.09616260975599289,1,1,1,1,1,1
248,left,0.0,0.0,1,1,0,0,0,1
249,right,0.0,0.0,0,0,0,0,0,0
250,back,0.08830905556678773,0.2207726389169693,1,1,1,0,1,1
251,front,0.05274323225021362,0.13185808062553406,1,1,1,0,1,1
252,left,0.048766675591468814,0.12191668897867203,1,1,1,1,1,1
253,right,0.028423210978507994,0.07105802744626999,1,1,1,1,1,1
254,back,0.06783452033996581,0.16958630084991455,1,1,1,0,1,1
