lambda,heldout,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_cls_util,context_cls_route,rh_context_util,rh_context_route,rh_context_k,rh_context_thr,rh_context_cap,rh_context_routed_rescue,rh_context_routed_harm,rh_geometry_util,rh_geometry_route,rh_geometry_k,rh_geometry_thr,rh_geometry_cap,rh_geometry_routed_rescue,rh_geometry_routed_harm,best_non_oracle,best_non_oracle_util
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,0.8650855745721273,0.2665036674816626,100,0.02,0.2,0.14678899082568808,0.24770642201834864,0.8477261613691932,0.2787286063569682,25,0.02,0.35,0.07894736842105263,0.23684210526315788,cheap,0.8973105134474327
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,0.8612469437652812,0.23227383863080683,100,0.03,0.2,0.16842105263157894,0.2736842105263158,0.8393643031784841,0.2787286063569682,25,0.027466666666678054,0.35,0.07894736842105263,0.23684210526315788,cheap,0.8973105134474327
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,0.8841075794621027,0.10757946210268948,15,0.13333333333333336,0.13333333333333333,0.22727272727272727,0.25,0.8838630806845966,0.061124694376528114,50,0.12,0.34,0.2,0.32,cheap,0.8973105134474327
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,0.8777506112469438,0.03667481662591687,15,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.4,0.8909535452322739,0.044009779951100246,50,0.14,0.2,0.2777777777777778,0.2222222222222222,cheap,0.8973105134474327
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8877750611246944,0.007334963325183374,0.8816625916870416,0.019559902200488997,0.8833740831295844,0.022004889975550123,100,0.14420000000000072,0.07,0.0,0.3333333333333333,0.8973105134474327,0.0,200,0.05500000000000001,0.015,0.0,0.0,cheap,0.8973105134474327
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,0.8973105134474327,0.0,25,0.5,0.0,0.0,0.0,0.8973105134474327,0.0,200,0.05500000000000001,0.005,0.0,0.0,cheap,0.8973105134474327
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,0.8709452736318408,0.10945273631840796,25,0.039999999999999994,0.2,0.2727272727272727,0.09090909090909091,0.8523880597014925,0.04228855721393035,25,0.04,0.24,0.11764705882352941,0.11764705882352941,rh_context,0.8709452736318408
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,0.8664179104477612,0.0845771144278607,25,0.04000000000000001,0.2,0.3235294117647059,0.11764705882352941,0.8511194029850746,0.04228855721393035,25,0.04,0.24,0.11764705882352941,0.11764705882352941,conf,0.8681592039800995
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995025,0.06218905472636816,0.8619402985074627,0.08706467661691543,0.8567164179104477,0.06467661691542288,0.8507462686567164,0.024875621890547265,15,0.13333333333333336,0.13333333333333333,0.2,0.2,0.8475124378109454,0.007462686567164179,15,0.1,0.35,0.0,0.6666666666666666,conf,0.8619402985074627
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268657,0.06218905472636816,0.8492537313432836,0.04477611940298507,0.8502487562189055,0.06467661691542288,0.853731343283582,0.009950248756218905,15,0.2666666666666667,0.13333333333333333,0.25,0.0,0.8532338308457711,0.0,200,0.06666666666666742,0.2,0.0,0.0,rh_context,0.853731343283582
0.3,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.5407960199004975,0.8967661691542289,0.06218905472636816,0.8532338308457711,0.0,0.845771144278607,0.04975124378109453,0.8517412935323383,0.004975124378109453,25,0.2,0.08,0.5,0.5,0.8532338308457711,0.0,200,0.07500000000000001,0.2,0.0,0.0,cheap,0.8532338308457711
0.5,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.34079601990049746,0.8843283582089553,0.06218905472636816,0.8532338308457711,0.0,0.8395522388059702,0.04228855721393035,0.8532338308457711,0.0,50,0.33999999999999997,0.08,0.0,0.0,0.8532338308457711,0.0,100,0.14999999999999997,0.01,0.0,0.0,cheap,0.8532338308457711
0.02,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7984019370460048,0.892590799031477,0.16464891041162227,0.7759322033898306,0.1864406779661017,0.7699273607748185,0.1234866828087167,0.8018401937046007,0.4648910411622276,15,0.02,0.13333333333333333,0.265625,0.09375,0.7444067796610171,0.18886198547215496,25,0.02,0.1,0.19230769230769232,0.10256410256410256,rh_context,0.8018401937046007
0.05,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7684019370460048,0.8876513317191284,0.16464891041162227,0.7703389830508474,0.1864406779661017,0.7662227602905569,0.1234866828087167,0.7878934624697336,0.4648910411622276,15,0.05,0.13333333333333333,0.265625,0.09375,0.7349878934624697,0.16707021791767554,15,0.05,0.06666666666666667,0.21739130434782608,0.14492753623188406,rh_context,0.7878934624697336
0.1,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7184019370460049,0.8794188861985474,0.16464891041162227,0.7561743341404358,0.13801452784503632,0.7547215496368039,0.10411622276029056,0.7602905569007264,0.31476997578692495,100,0.04999999999999999,0.18,0.3,0.1076923076923077,0.7319612590799032,0.11380145278450363,15,0.1,0.06666666666666667,0.2765957446808511,0.1702127659574468,rh_context,0.7602905569007264
0.2,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.6184019370460048,0.8629539951573849,0.16464891041162227,0.7312348668280871,0.0,0.7443099273607747,0.10411622276029056,0.7278450363196126,0.162227602905569,100,0.09000000000000001,0.18,0.29850746268656714,0.11940298507462686,0.7312348668280871,0.0,100,0.07480000000000019,0.05,0.0,0.0,context_cls,0.7443099273607747
0.3,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.5184019370460049,0.8464891041162228,0.16464891041162227,0.7312348668280871,0.0,0.7278450363196126,0.09200968523002422,0.712590799031477,0.14285714285714285,100,0.09000000000000001,0.15,0.288135593220339,0.11864406779661017,0.7312348668280871,0.0,100,0.07480000000000019,0.02,0.0,0.0,cheap,0.7312348668280871
0.5,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.31840193704600483,0.8135593220338984,0.16464891041162227,0.7312348668280871,0.0,0.7094430992736077,0.09200968523002422,0.7324455205811138,0.002421307506053269,15,0.5,0.06666666666666667,1.0,0.0,0.7312348668280871,0.0,200,0.075,0.005,0.0,0.0,rh_context,0.7324455205811138
