lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule,cols
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,uncertainty,0.8422004889975551,0.3105134474327628,15,gain_threshold,"cheap_confidence,cheap_uncertainty"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,uncertainty,0.8555501222493888,0.254278728606357,25,"thr=0.0400,cap=0.2000","cheap_confidence,cheap_uncertainty"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,margin,0.8598533007334963,0.28361858190709044,15,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,margin,0.8711002444987775,0.21026894865525672,25,"thr=0.0800,cap=0.2800","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,margin_action,0.8580440097799512,0.3740831295843521,25,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,margin_action,0.8495843520782397,0.43031784841075793,100,"thr=0.0200,cap=0.2200","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,context,0.8561858190709049,0.22249388753056235,15,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,context,0.8650855745721273,0.2665036674816626,100,"thr=0.0200,cap=0.2000","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,mined_geometry_only,0.8662102689486554,0.21026894865525672,15,gain_threshold,"horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,mined_geometry_only,0.8970660146699267,0.012224938875305624,200,"thr=0.0300,cap=0.1250","horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
