lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,uncertainty,0.8422004889975551,0.3105134474327628,15,gain_threshold
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,uncertainty,0.8555501222493888,0.254278728606357,25,"thr=0.0400,cap=0.2000"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,margin,0.8598533007334963,0.28361858190709044,15,gain_threshold
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,margin,0.8711002444987775,0.21026894865525672,25,"thr=0.0800,cap=0.2800"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,context,0.8561858190709049,0.22249388753056235,15,gain_threshold
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,context,0.8650855745721273,0.2665036674816626,100,"thr=0.0200,cap=0.2000"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,latent_only,0.8776528117359415,0.37163814180929094,15,gain_threshold
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,latent_only,0.8676283618581907,0.5061124694376528,50,"thr=0.0200,cap=0.0800"
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,knn_gain,context_latent,0.8750122249388754,0.2591687041564792,15,gain_threshold
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8525672371638143,0.28117359413202936,0.8869437652811736,0.029339853300733496,rescue_harm,context_latent,0.8767726161369194,0.17114914425427874,25,"thr=0.0800,cap=0.1600"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,uncertainty,0.8328850855745721,0.3105134474327628,15,gain_threshold
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,uncertainty,0.8646699266503667,0.16381418092909536,50,"thr=0.1000,cap=0.2000"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,margin,0.8589242053789732,0.22982885085574573,25,gain_threshold
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,margin,0.8647921760391197,0.21026894865525672,25,"thr=0.0800,cap=0.2800"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,context,0.8495110024449878,0.22249388753056235,15,gain_threshold
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,context,0.8612469437652812,0.23227383863080683,100,"thr=0.0300,cap=0.2000"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,latent_only,0.8665036674816625,0.37163814180929094,15,gain_threshold
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,latent_only,0.8665036674816625,0.32273838630806845,100,"thr=0.0500,cap=0.0500"
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,knn_gain,context_latent,0.8832518337408313,0.13447432762836187,15,tuned_threshold
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8441320293398533,0.28117359413202936,0.8860635696821517,0.029339853300733496,rescue_harm,context_latent,0.871638141809291,0.17114914425427874,25,"thr=0.0500,cap=0.1600"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,uncertainty,0.8442542787286063,0.21271393643031786,15,gain_threshold
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,uncertainty,0.8775061124694375,0.12469437652811736,50,"thr=0.1800,cap=0.1200"
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,knn_gain,margin,0.8474327628361858,0.22982885085574573,25,tuned_threshold
