lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,route_rate,n
0.02,block3_h36_seed13,"3-block, H=36",cheap,0.8973105134474327,0.8679095354523227,0.9266503667481663,0.0,409
0.02,block3_h36_seed13,"3-block, H=36",full,0.8088508557457214,0.7721760391198045,0.8455256723716382,1.0,409
0.02,block3_h36_seed13,"3-block, H=36",confidence,0.8525672371638143,0.8172066014669928,0.8867518337408313,0.28117359413202936,409
0.02,block3_h36_seed13,"3-block, H=36",context_cls,0.8869437652811736,0.8572616136919315,0.9165281173594132,0.029339853300733496,409
0.02,block3_h36_seed13,"3-block, H=36",knn_context,0.8561858190709049,0.8224755501222494,0.8905635696821517,0.22249388753056235,409
0.02,block3_h36_seed13,"3-block, H=36",rh_context,0.8650855745721273,0.8323227383863082,0.8975061124694378,0.2665036674816626,409
0.02,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8750122249388754,0.8425892420537898,0.9048899755501223,0.2591687041564792,409
0.02,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8767726161369194,0.8440012224938876,0.9087530562347188,0.17114914425427874,409
0.02,block3_h36_seed13,"3-block, H=36",oracle,0.940440097799511,0.9162799511002445,0.9624938875305624,0.044009779951100246,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-knn_context,0.01882640586797066,-0.0038141809290953557,0.042940097799511016,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-rh_context,0.011687041564792179,-0.010612469437652811,0.033889975550122256,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-confidence,0.02244498777506113,-0.004157701711491442,0.04968337408312959,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-confidence,0.02420537897310514,-0.0027872860635696803,0.051540342298288515,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-context_cls,-0.011931540342298293,-0.03643031784841076,0.01291075794621027,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-context_cls,-0.010171149144254281,-0.03462224938875306,0.013940097799511013,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-cheap,-0.02229828850855746,-0.0470440097799511,0.0022982885085574526,,409
0.02,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-cheap,-0.020537897310513448,-0.044699266503667484,0.0038166259168704213,,409
0.05,block3_h36_seed13,"3-block, H=36",cheap,0.8973105134474327,0.8679706601466992,0.9242053789731052,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",full,0.7788508557457212,0.7421760391198043,0.815525672371638,1.0,409
0.05,block3_h36_seed13,"3-block, H=36",confidence,0.8441320293398533,0.8078239608801957,0.8781173594132029,0.28117359413202936,409
0.05,block3_h36_seed13,"3-block, H=36",context_cls,0.8860635696821517,0.8543948655256723,0.9157732273838631,0.029339853300733496,409
0.05,block3_h36_seed13,"3-block, H=36",knn_context,0.8495110024449878,0.8144254278728607,0.8833771393643033,0.22249388753056235,409
0.05,block3_h36_seed13,"3-block, H=36",rh_context,0.8612469437652812,0.8279951100244498,0.8922982885085574,0.23227383863080683,409
0.05,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8832518337408313,0.8504889975550123,0.9127139364303177,0.13447432762836187,409
0.05,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.871638141809291,0.8381387530562348,0.9019559902200488,0.17114914425427874,409
0.05,block3_h36_seed13,"3-block, H=36",oracle,0.9391198044009781,0.9149144254278728,0.9605165036674818,0.044009779951100246,409
0.05,block3_h36_seed13,"3-block, H=36",DELTA:knn_context_latent-knn_context,0.03374083129584353,0.010513447432762838,0.058071515892420544,,409
0.05,block3_h36_seed13,"3-block, H=36",DELTA:rh_context_latent-rh_context,0.010391198044009783,-0.011980440097799508,0.03398838630806847,,409
