lambda,heldout,variant_label,method,utility_mean,utility_std,route_rate_mean,route_rate_std,n
0.02,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.02,block3_h36_seed13,"3-block, H=36",confidence,0.8534637326813366,0.0034384329397987934,0.19559902200489,0.07579462102689487,409
0.02,block3_h36_seed13,"3-block, H=36",context_cls,0.868117359413203,0.01638141809290957,0.033414832925835365,0.018673902587432113,409
0.02,block3_h36_seed13,"3-block, H=36",full,0.8088508557457214,0.0,1.0,0.0,409
0.02,block3_h36_seed13,"3-block, H=36",knn_context,0.8634392828035861,0.006434422506413019,0.14506927465362673,0.06759554780682629,409
0.02,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8627383863080685,0.011060104281057935,0.18011409942950285,0.07497519564535891,409
0.02,block3_h36_seed13,"3-block, H=36",oracle,0.9055256723716382,0.030263497303094574,0.037489812550937245,0.006153084299324168,409
0.02,block3_h36_seed13,"3-block, H=36",rh_context,0.8633740831295844,0.0029221439938052055,0.14832925835370825,0.11736790243678379,409
0.02,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8675794621026895,0.008705255280772161,0.14180929095354525,0.07302290720326689,409
0.02,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.02,block3_h48_seed10,"3-block, H=48",confidence,0.8678109452736318,0.004225049501604359,0.1417910447761194,0.008617168196860096,402
0.02,block3_h48_seed10,"3-block, H=48",context_cls,0.8676451077943615,0.01684844313935933,0.06716417910447761,0.0043085840984300496,402
0.02,block3_h48_seed10,"3-block, H=48",full,0.8207960199004974,0.0,1.0,0.0,402
0.02,block3_h48_seed10,"3-block, H=48",knn_context,0.870497512437811,0.008510662457235776,0.1318407960199005,0.03175906799702414,402
0.02,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8680099502487563,0.011093858043750753,0.1733001658374793,0.05597475566082147,402
0.02,block3_h48_seed10,"3-block, H=48",oracle,0.9112106135986733,0.0057108562575509236,0.04477611940298507,0.016312036130104478,402
0.02,block3_h48_seed10,"3-block, H=48",rh_context,0.8691708126036485,0.0016077684893022774,0.15671641791044777,0.05623211221620555,402
0.02,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8692039800995026,0.011255662282490976,0.1550580431177446,0.061806451587344026,402
0.02,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",confidence,0.808458434221146,0.03150768976118627,0.13397901533494752,0.060500394937563075,413
0.02,block3_h72_seed14,"3-block, H=72",context_cls,0.8025343018563359,0.03375817919107869,0.06698950766747376,0.05178051632718463,413
0.02,block3_h72_seed14,"3-block, H=72",full,0.798401937046005,0.0,1.0,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",knn_context,0.8210653753026635,0.024911759685468788,0.27037933817594834,0.18069725462721553,413
0.02,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.8235835351089588,0.02173379428769245,0.1848264729620662,0.08237191814155334,413
0.02,block3_h72_seed14,"3-block, H=72",oracle,0.8930104923325262,0.01598476234866767,0.10330912025827281,0.05448390260447997,413
0.02,block3_h72_seed14,"3-block, H=72",rh_context,0.8270217917675545,0.029104237086444683,0.255044390637611,0.21571843352355563,413
0.02,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.8184826472962067,0.026459355939685653,0.15738498789346247,0.08401623037722745,413
0.05,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",confidence,0.8504074979625101,0.006063783286192119,0.1393643031784841,0.1406027417342775,409
0.05,block3_h36_seed13,"3-block, H=36",context_cls,0.8671149144254279,0.01654888309374205,0.033414832925835365,0.018673902587432113,409
0.05,block3_h36_seed13,"3-block, H=36",full,0.7788508557457212,0.0,1.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",knn_context,0.8590872045639771,0.008455852746545214,0.14506927465362673,0.06759554780682629,409
0.05,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8626731866340668,0.017949579860828912,0.13854930725346373,0.030765421496620832,409
0.05,block3_h36_seed13,"3-block, H=36",oracle,0.9044009779951101,0.030097441996450584,0.037489812550937245,0.006153084299324168,409
0.05,block3_h36_seed13,"3-block, H=36",rh_context,0.8610431947840261,0.0019030634765828313,0.10594947025264873,0.10995198192990638,409
0.05,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.867481662591687,0.00531609166385307,0.10757946210268948,0.055269704427664136,409
0.05,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",confidence,0.8666666666666666,0.0013453549535313609,0.12935323383084577,0.026907099070626786,402
0.05,block3_h48_seed10,"3-block, H=48",context_cls,0.8656301824212272,0.016722419804237075,0.06716417910447761,0.0043085840984300496,402
0.05,block3_h48_seed10,"3-block, H=48",full,0.7907960199004974,0.0,1.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",knn_context,0.8658374792703151,0.009279585043527933,0.09618573797678276,0.04353826067271999,402
0.05,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8654643449419569,0.010634388971149992,0.13681592039800994,0.0151312500753687,402
0.05,block3_h48_seed10,"3-block, H=48",oracle,0.9098673300165837,0.0056947428927714375,0.04477611940298507,0.016312036130104478,402
0.05,block3_h48_seed10,"3-block, H=48",rh_context,0.8690713101160862,0.011427453856800279,0.0812603648424544,0.002872389398953366,402
0.05,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.86712271973466,0.009590296972886221,0.10364842454394692,0.03734106218639371,402
0.05,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",confidence,0.8044390637610976,0.033266406595023924,0.13397901533494752,0.060500394937563075,413
0.05,block3_h72_seed14,"3-block, H=72",context_cls,0.8005246166263116,0.03526668531176874,0.06698950766747376,0.05178051632718463,413
0.05,block3_h72_seed14,"3-block, H=72",full,0.7684019370460048,0.0,1.0,0.0,413
0.05,block3_h72_seed14,"3-block, H=72",knn_context,0.809685230024213,0.03369382289903983,0.20661824051654562,0.11587754757656187,413
0.05,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.8180387409200969,0.024111165684270484,0.1848264729620662,0.08237191814155334,413
0.05,block3_h72_seed14,"3-block, H=72",oracle,0.8899112187247781,0.016460587910361448,0.10330912025827281,0.05448390260447997,413
0.05,block3_h72_seed14,"3-block, H=72",rh_context,0.81727199354318,0.036311809761774554,0.21630347054075869,0.22298826808377592,413
