variant,variant_label,model,model_label,model_dim,layers,checkpoint_mb,tie_aware_top1,strict_top1,biased_argmin_top1,mean_tie_count,same_action_diff_state_win,same_state_diff_action_win,same_action_diff_state_margin,same_state_diff_action_margin
block2_h72_seed11,"2-block, H=72",tiny_full_seed0,Tiny,64.0,1.0,0.3932209014892578,0.953125,0.951923,0.954327,1.002404,0.96875,0.986779,0.179288,0.188609
block2_h72_seed11,"2-block, H=72",small_full_seed0,Small,128.0,1.0,1.1517658233642578,0.929087,0.927885,0.930288,1.002404,0.953125,0.985577,0.164265,0.201268
block2_h72_seed11,"2-block, H=72",medium_full_seed0,Medium,192.0,2.0,3.986543655395508,0.955529,0.954327,0.956731,1.002404,0.97476,0.986779,0.187505,0.191808
block2_h72_seed11,"2-block, H=72",full_seed0,Full,,,21.482454299926758,0.97476,0.973558,0.975962,1.002404,0.986779,0.986779,0.197086,0.184628
block2_v18_seed12,"2-block, V=1.8",tiny_full_seed0,Tiny,64.0,1.0,0.3932209014892578,0.994924,0.994924,0.994924,1.0,1.0,0.997462,0.219811,0.20385
block2_v18_seed12,"2-block, V=1.8",small_full_seed0,Small,128.0,1.0,1.1517658233642578,0.98731,0.98731,0.98731,1.0,0.992386,0.998731,0.210554,0.213613
block2_v18_seed12,"2-block, V=1.8",medium_full_seed0,Medium,192.0,2.0,3.986543655395508,0.979695,0.979695,0.979695,1.0,0.988579,0.997462,0.212601,0.19645
block2_v18_seed12,"2-block, V=1.8",full_seed0,Full,,,21.482454299926758,0.994924,0.994924,0.994924,1.0,0.998731,0.998731,0.222441,0.19872
block3_h36_seed13,"3-block, H=36",tiny_full_seed0,Tiny,64.0,1.0,0.3932209014892578,0.894866,0.894866,0.894866,1.0,0.933985,0.991443,0.143116,0.137059
block3_h36_seed13,"3-block, H=36",small_full_seed0,Small,128.0,1.0,1.1517658233642578,0.897311,0.897311,0.897311,1.0,0.93643,0.99511,0.143448,0.141824
block3_h36_seed13,"3-block, H=36",medium_full_seed0,Medium,192.0,2.0,3.986543655395508,0.863081,0.863081,0.863081,1.0,0.9022,0.984108,0.143133,0.130611
block3_h36_seed13,"3-block, H=36",full_seed0,Full,,,21.482454299926758,0.828851,0.828851,0.828851,1.0,0.863081,0.979218,0.145654,0.142981
block3_h48_seed10,"3-block, H=48",tiny_full_seed0,Tiny,64.0,1.0,0.3932209014892578,0.868159,0.868159,0.868159,1.0,0.909204,0.992537,0.146118,0.139367
block3_h48_seed10,"3-block, H=48",small_full_seed0,Small,128.0,1.0,1.1517658233642578,0.853234,0.853234,0.853234,1.0,0.896766,0.997512,0.139201,0.14486
block3_h48_seed10,"3-block, H=48",medium_full_seed0,Medium,192.0,2.0,3.986543655395508,0.883085,0.883085,0.883085,1.0,0.916667,0.995025,0.147614,0.139254
block3_h48_seed10,"3-block, H=48",full_seed0,Full,,,21.482454299926758,0.840796,0.840796,0.840796,1.0,0.879353,0.992537,0.156519,0.146012
block3_h72_seed14,"3-block, H=72",tiny_full_seed0,Tiny,64.0,1.0,0.3932209014892578,0.815981,0.815981,0.815981,1.0,0.868039,0.992736,0.115235,0.135569
block3_h72_seed14,"3-block, H=72",small_full_seed0,Small,128.0,1.0,1.1517658233642578,0.731235,0.731235,0.731235,1.0,0.786925,0.991525,0.102013,0.144221
block3_h72_seed14,"3-block, H=72",medium_full_seed0,Medium,192.0,2.0,3.986543655395508,0.842615,0.842615,0.842615,1.0,0.887409,0.979419,0.120048,0.139281
block3_h72_seed14,"3-block, H=72",full_seed0,Full,,,21.482454299926758,0.818402,0.818402,0.818402,1.0,0.857143,0.976998,0.122844,0.137266
