lambda,variant,model,top1,checkpoint_mb,cost_proxy,utility,same_action_diff_state_win,same_state_diff_action_win
0.0,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.953125,0.96875,0.986779
0.0,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.929087,0.953125,0.985577
0.0,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.955529,0.97476,0.986779
0.0,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.97476,0.986779,0.986779
0.0,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.994924,1.0,0.997462
0.0,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.98731,0.992386,0.998731
0.0,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.979695,0.988579,0.997462
0.0,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.994924,0.998731,0.998731
0.0,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.894866,0.933985,0.991443
0.0,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.897311,0.93643,0.99511
0.0,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.863081,0.9022,0.984108
0.0,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.828851,0.863081,0.979218
0.0,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.868159,0.909204,0.992537
0.0,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.853234,0.896766,0.997512
0.0,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.883085,0.916667,0.995025
0.0,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.840796,0.879353,0.992537
0.0,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.815981,0.868039,0.992736
0.0,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.731235,0.786925,0.991525
0.0,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.842615,0.887409,0.979419
0.0,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.818402,0.857143,0.976998
0.01,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.9529419571800319,0.96875,0.986779
0.01,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.9285508574311464,0.953125,0.985577
0.01,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.9536732792337702,0.97476,0.986779
0.01,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.96476,0.986779,0.986779
0.01,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.994740957180032,1.0,0.997462
0.01,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9867738574311464,0.992386,0.998731
0.01,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.9778392792337702,0.988579,0.997462
0.01,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.984924,0.998731,0.998731
0.01,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.894682957180032,0.933985,0.991443
0.01,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.8967748574311464,0.93643,0.99511
0.01,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.8612252792337702,0.9022,0.984108
0.01,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.818851,0.863081,0.979218
0.01,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.867975957180032,0.909204,0.992537
0.01,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.8526978574311465,0.896766,0.997512
0.01,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.8812292792337703,0.916667,0.995025
0.01,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.830796,0.879353,0.992537
0.01,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.8157979571800319,0.868039,0.992736
0.01,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.7306988574311464,0.786925,0.991525
0.01,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.8407592792337703,0.887409,0.979419
0.01,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.808402,0.857143,0.976998
0.02,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.952758914360064,0.96875,0.986779
0.02,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.9280147148622928,0.953125,0.985577
0.02,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.9518175584675406,0.97476,0.986779
0.02,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.9547599999999999,0.986779,0.986779
0.02,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.994557914360064,1.0,0.997462
0.02,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9862377148622928,0.992386,0.998731
