model,model_label,device,checkpoint_mb,params,model_dim,layers,heads,batch_size,latency_ms_mean,latency_ms_std,latency_ms_median,latency_ms_p10,latency_ms_p90,per_item_ms_median,throughput_items_per_s_median,relative_latency_b128
tiny_full_seed0,Tiny,cuda,0.3932209014892578,100928,64,1,4,1,0.5085760230819384,0.012712531292474396,0.5122288130223751,0.49261869862675667,0.5230325274169445,0.5122288130223751,1952.2525374930797,0.14874374753981892
tiny_full_seed0,Tiny,cuda,0.3932209014892578,100928,64,1,4,8,0.5202265797803799,0.01611340009269996,0.5231746472418308,0.5028430372476578,0.5334382876753807,0.06539683090522885,15291.260847932683,0.15192225753449257
tiny_full_seed0,Tiny,cuda,0.3932209014892578,100928,64,1,4,32,0.510118193924427,0.012928560304747925,0.5127000622451305,0.494183786213398,0.5249726586043835,0.01602187694516033,62414.65986930241,0.148880591414345
tiny_full_seed0,Tiny,cuda,0.3932209014892578,100928,64,1,4,128,0.6476737093180418,0.023334824141989615,0.6416039541363716,0.6244480609893799,0.6869723089039326,0.005012530891690403,199500.01737800054,0.18631239428236002
tiny_full_seed0,Tiny,cuda,0.3932209014892578,100928,64,1,4,512,1.594652074078719,0.008139525853419805,1.5920121222734451,1.5865870751440525,1.6058177687227726,0.0031093986763153225,321605.591337362,0.46229701097550074
small_full_seed0,Small,cuda,1.1517658233642578,299776,128,1,4,1,0.5062900204211473,0.011634516884422038,0.5091843195259571,0.4916076548397541,0.5183009430766106,0.5091843195259571,1963.9253638662417,0.147859671204195
small_full_seed0,Small,cuda,1.1517658233642578,299776,128,1,4,8,0.5183672904968262,0.012700026074638498,0.521254725754261,0.5027982406318188,0.5309714004397392,0.06515684071928263,15347.582678361174,0.15136474044489676
small_full_seed0,Small,cuda,1.1517658233642578,299776,128,1,4,32,0.5122445616871119,0.01228402138384742,0.5158535204827785,0.49656908959150314,0.5244653671979904,0.01612042251508683,62033.113528142145,0.14979630951542258
small_full_seed0,Small,cuda,1.1517658233642578,299776,128,1,4,128,0.6958771031349897,0.009475147166969325,0.692248810082674,0.6853562779724598,0.7086330093443394,0.005408193828770891,184904.61541524815,0.20101891893609566
small_full_seed0,Small,cuda,1.1517658233642578,299776,128,1,4,512,1.8902617848167818,0.047431215861034014,1.8845521844923496,1.8798158504068851,1.8980802036821842,0.0036807659853366204,271682.58019765036,0.5472463618392737
medium_full_seed0,Medium,cuda,3.986543655395508,1041792,192,2,4,1,0.8027916246404251,0.014239603477201395,0.8021695539355278,0.785363744944334,0.816149078309536,0.8021695539355278,1246.619240401104,0.23293829355418025
medium_full_seed0,Medium,cuda,3.986543655395508,1041792,192,2,4,8,0.80433649631838,0.011677368583018714,0.8039632812142372,0.7881667464971542,0.8167575113475323,0.10049541015177965,9950.703206143302,0.23345916569318656
medium_full_seed0,Medium,cuda,3.986543655395508,1041792,192,2,4,32,0.8014533296227455,0.012614069875513017,0.8004033006727695,0.7849833928048611,0.8142090402543545,0.02501260314602405,39979.84512695385,0.23242539946714727
medium_full_seed0,Medium,cuda,3.986543655395508,1041792,192,2,4,128,1.3200096444537242,0.00714761301682725,1.3176873326301575,1.313911471515894,1.3300227001309395,0.010294432286173105,97139.88806776096,0.382637108570064
medium_full_seed0,Medium,cuda,3.986543655395508,1041792,192,2,4,512,4.524430803333719,0.0053526888893292305,4.523962736129761,4.518673941493034,4.530387930572033,0.008835864719003439,113175.11435516702,1.3136925412921658
full_seed0,Full,cuda,21.482454299926758,5627136,384,3,6,1,1.083523730436961,0.017307791507490122,1.07949273660779,1.0713840834796429,1.0966491885483265,1.07949273660779,926.3610268860272,0.3134688853944721
full_seed0,Full,cuda,21.482454299926758,5627136,384,3,6,8,1.0736939993997414,0.010434061998961382,1.0705739259719849,1.0638830251991749,1.0869111865758896,0.1338217407464981,7472.627350546315,0.3108789933699684
full_seed0,Full,cuda,21.482454299926758,5627136,384,3,6,32,1.2533572005728881,0.010025545424166466,1.2499676086008549,1.243049744516611,1.2664839625358582,0.039061487768776715,25600.663393045077,0.36297229222549654
full_seed0,Full,cuda,21.482454299926758,5627136,384,3,6,128,3.4471142136802277,0.013447421994625867,3.4436997957527637,3.4379220567643642,3.4579219296574593,0.026903904654318467,37169.32589706771,1.0
full_seed0,Full,cuda,21.482454299926758,5627136,384,3,6,512,12.588441014910737,0.013991445536953742,12.586813885718584,12.578254379332066,12.595773953944445,0.02458362087054411,40677.49032032103,3.655026463468838
