lambda,variant,best
0.0,"2-block, H=72",Full
0.0,"2-block, V=1.8",Tiny
0.0,"3-block, H=36",Small
0.0,"3-block, H=48",Medium
0.0,"3-block, H=72",Medium
0.01,"2-block, H=72",Full
0.01,"2-block, V=1.8",Tiny
0.01,"3-block, H=36",Small
0.01,"3-block, H=48",Medium
0.01,"3-block, H=72",Medium
0.02,"2-block, H=72",Full
0.02,"2-block, V=1.8",Tiny
0.02,"3-block, H=36",Small
0.02,"3-block, H=48",Medium
0.02,"3-block, H=72",Medium
0.05,"2-block, H=72",Tiny
0.05,"2-block, V=1.8",Tiny
0.05,"3-block, H=36",Small
0.05,"3-block, H=48",Medium
0.05,"3-block, H=72",Medium
0.1,"2-block, H=72",Tiny
0.1,"2-block, V=1.8",Tiny
0.1,"3-block, H=36",Small
0.1,"3-block, H=48",Tiny
0.1,"3-block, H=72",Medium
0.15,"2-block, H=72",Tiny
0.15,"2-block, V=1.8",Tiny
0.15,"3-block, H=36",Small
0.15,"3-block, H=48",Tiny
0.15,"3-block, H=72",Tiny
0.2,"2-block, H=72",Tiny
0.2,"2-block, V=1.8",Tiny
0.2,"3-block, H=36",Tiny
0.2,"3-block, H=48",Tiny
0.2,"3-block, H=72",Tiny
0.3,"2-block, H=72",Tiny
0.3,"2-block, V=1.8",Tiny
0.3,"3-block, H=36",Tiny
0.3,"3-block, H=48",Tiny
0.3,"3-block, H=72",Tiny
