lambda,variant,model,top1,latency_ms_b128,relative_latency,checkpoint_mb,params,utility,same_action_diff_state_win,same_state_diff_action_win
0.0,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.953125,0.96875,0.986779
0.0,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.929087,0.953125,0.985577
0.0,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.955529,0.97476,0.986779
0.0,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.97476,0.986779,0.986779
0.0,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.994924,1.0,0.997462
0.0,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.98731,0.992386,0.998731
0.0,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.979695,0.988579,0.997462
0.0,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.994924,0.998731,0.998731
0.0,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.894866,0.933985,0.991443
0.0,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.897311,0.93643,0.99511
0.0,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.863081,0.9022,0.984108
0.0,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.828851,0.863081,0.979218
0.0,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.868159,0.909204,0.992537
0.0,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.853234,0.896766,0.997512
0.0,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.883085,0.916667,0.995025
0.0,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.840796,0.879353,0.992537
0.0,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.815981,0.868039,0.992736
0.0,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.731235,0.786925,0.991525
0.0,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.842615,0.887409,0.979419
0.0,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.818402,0.857143,0.976998
0.01,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.9512618760571764,0.96875,0.986779
0.01,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9270768108106391,0.953125,0.985577
0.01,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9517026289142994,0.97476,0.986779
0.01,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.96476,0.986779,0.986779
0.01,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.9930608760571764,1.0,0.997462
0.01,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9852998108106391,0.992386,0.998731
0.01,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.9758686289142994,0.988579,0.997462
0.01,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.984924,0.998731,0.998731
0.01,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.8930028760571764,0.933985,0.991443
0.01,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8953008108106391,0.93643,0.99511
