lambda,heldout,variant_label,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,method
0.0,block3_h36_seed13,"3-block, H=36",0.8948655256723717,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,fixed_Tiny
0.0,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,fixed_Small
0.0,block3_h36_seed13,"3-block, H=36",0.863080684596577,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,fixed_Medium
0.0,block3_h36_seed13,"3-block, H=36",0.8288508557457213,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.0,block3_h36_seed13,"3-block, H=36",0.9584352078239609,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,oracle_multicapacity
0.0,block3_h36_seed13,"3-block, H=36",0.8850855745721271,0.8850855745721271,0.2479141144081568,0.28361858190709044,0.4352078239608802,0.28117359413202936,0.0,ridge_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",0.8801955990220048,0.8801955990220048,0.29942785544586176,0.687041564792176,0.05623471882640587,0.15647921760391198,0.10024449877750612,rf_expected_utility
0.0,block3_h36_seed13,"3-block, H=36",0.8948655256723717,0.8948655256723717,0.2527638717290966,0.7506112469437652,0.03667481662591687,0.17359413202933985,0.039119804400977995,logreg_oracle_label
0.0,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8973105134474327,0.2290584218390739,0.726161369193154,0.1271393643031785,0.1271393643031785,0.019559902200488997,rf_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",0.8930024017295479,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,fixed_Tiny
0.01,block3_h36_seed13,"3-block, H=36",0.8953003242580715,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,fixed_Small
0.01,block3_h36_seed13,"3-block, H=36",0.8592543135108763,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,fixed_Medium
0.01,block3_h36_seed13,"3-block, H=36",0.8188508557457214,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.01,block3_h36_seed13,"3-block, H=36",0.95654053227749,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,oracle_multicapacity
0.01,block3_h36_seed13,"3-block, H=36",0.8826389555167021,0.8850855745721271,0.24466190554250222,0.293398533007335,0.44254278728606355,0.26405867970660146,0.0,ridge_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",0.8773045146770552,0.8801955990220048,0.2891084344949701,0.6943765281173594,0.06356968215158924,0.15403422982885084,0.08801955990220049,rf_expected_utility
0.01,block3_h36_seed13,"3-block, H=36",0.8923378869550807,0.8948655256723717,0.2527638717290966,0.7506112469437652,0.03667481662591687,0.17359413202933985,0.039119804400977995,logreg_oracle_label
0.01,block3_h36_seed13,"3-block, H=36",0.8950199292290419,0.8973105134474327,0.2290584218390739,0.726161369193154,0.1271393643031785,0.1271393643031785,0.019559902200488997,rf_oracle_label
0.02,block3_h36_seed13,"3-block, H=36",0.8911392777867244,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,fixed_Tiny
