lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.0,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.8973105134474327,0.8679095354523227,0.9266503667481663,0.0,0.0,0.0,False,0.06112469437652812,409
0.0,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9584352078239609,0.9388753056234719,0.9755501222493888,0.06112469437652812,,,True,0.0,409
0.0,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8850855745721271,0.8533007334963325,0.9144254278728606,-0.012224938875305624,-0.04156479217603912,0.017114914425427872,False,0.07334963325183375,409
0.0,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8801955990220048,0.8484107579462102,0.9119804400977995,-0.017114914425427872,-0.04651589242053788,0.012224938875305624,False,0.07823960880195602,409
0.0,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8948655256723717,0.8655256723716381,0.9242053789731052,-0.0024449877750611247,-0.03178484107579462,0.029339853300733496,False,0.0635696821515892,409
0.0,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8973105134474327,0.8679706601466992,0.9266503667481663,0.0,-0.02689486552567237,0.02444987775061125,False,0.06112469437652812,409
0.01,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.8953003242580715,0.8635154831822769,0.9221951897837439,0.0,0.0,0.0,False,0.06124020801941854,409
0.01,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.95654053227749,0.9369772682526569,0.9736661346409534,0.06124020801941854,,,True,0.0,409
0.01,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8826389555167021,0.8508137630174183,0.9120462504368914,-0.012661368741369717,-0.041995711770697865,0.01667669254328806,False,0.0739015767607879,409
0.01,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8773045146770552,0.8452816063652655,0.909129847968574,-0.017995809581016684,-0.049785354325209356,0.011467784031273865,False,0.07923601760043486,409
0.01,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8923378869550807,0.8628886975103991,0.921730661526597,-0.002962437302991202,-0.0324403521418644,0.02660985245435458,False,0.06420264532240938,409
