variant,variant_label,capacity,capacity_label,top1_mean,top1_std,strict_mean,strict_std,same_action_mean,same_action_std,same_state_mean,same_state_std,n
block2_h72_seed11,"2-block, H=72",full,Full,0.9739583333333334,0.006049470417593055,0.9727563333333333,0.006049470417593055,0.9875803333333333,0.002502162531358276,0.9859776666666665,0.002502162531358305,3
block2_h72_seed11,"2-block, H=72",medium_full,Medium,0.9667469999999999,0.010008089677855617,0.965545,0.010008089677855606,0.979968,0.0045501262619844106,0.9859776666666665,0.0013879500471318381,3
block2_h72_seed11,"2-block, H=72",small_full,Small,0.9595356666666666,0.026369318844697804,0.9583336666666668,0.02636931884469783,0.9723556666666666,0.016697565970324336,0.986779,0.0020819250706977975,3
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,0.9579326666666667,0.008327122932521967,0.9567306666666666,0.008327122932522007,0.971154,0.004163850141395571,0.9859776666666665,0.0013879500471318381,3
block2_v18_seed12,"2-block, V=1.8",full,Full,0.9923860000000001,0.0025380000000000402,0.9923860000000001,0.0025380000000000402,0.996616,0.00264163415332256,0.9987309999999999,0.0,3
block2_v18_seed12,"2-block, V=1.8",medium_full,Medium,0.9839256666666666,0.005283668643408022,0.9839256666666666,0.005283668643408022,0.9902709999999999,0.002930629966406515,0.997462,0.0012690000000000062,3
block2_v18_seed12,"2-block, V=1.8",small_full,Small,0.9864636666666667,0.006387689749301663,0.9864636666666667,0.006387689749301663,0.9928089999999999,0.0019384295189663117,0.9983080000000001,0.0007326574916016708,3
block2_v18_seed12,"2-block, V=1.8",tiny_full,Tiny,0.993232,0.007753718075865301,0.993232,0.007753718075865301,0.997885,0.0036632874580082176,0.9983080000000001,0.0014653149832032774,3
block3_h36_seed13,"3-block, H=36",full,Full,0.854931,0.023747147723463584,0.854931,0.023747147723463584,0.8842706666666666,0.01934203030535656,0.9828853333333334,0.003667500011361017,3
block3_h36_seed13,"3-block, H=36",medium_full,Medium,0.8785660000000001,0.01390285851902403,0.8785660000000001,0.01390285851902403,0.9127953333333334,0.01341060089382026,0.9865526666666667,0.003234242002901667,3
block3_h36_seed13,"3-block, H=36",small_full,Small,0.8687860000000001,0.024974132117052673,0.8687860000000001,0.024974132117052673,0.9156476666666666,0.019212872932836824,0.9877753333333334,0.008016239850037767,3
block3_h36_seed13,"3-block, H=36",tiny_full,Tiny,0.876121,0.02108000296489546,0.876121,0.02108000296489546,0.9144253333333333,0.02019877289177073,0.9910353333333334,0.004293041617936329,3
block3_h48_seed10,"3-block, H=48",full,Full,0.8723053333333333,0.029988871424802506,0.8723053333333333,0.029988871424802506,0.9033993333333333,0.024916923010944426,0.9929516666666668,0.0007182237348719076,3
block3_h48_seed10,"3-block, H=48",medium_full,Medium,0.883914,0.0014358701194746091,0.883914,0.0014358701194746091,0.9150083333333333,0.0019002413881749748,0.9946103333333335,0.0007182237348719076,3
block3_h48_seed10,"3-block, H=48",small_full,Small,0.8673299999999999,0.016562866539340346,0.8673299999999999,0.016562866539340346,0.9063016666666667,0.010723299134750182,0.992952,0.003997759872728662,3
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,0.853234,0.01974429712600582,0.853234,0.01974429712600582,0.895108,0.021265828951630383,0.988806,0.004484335067766431,3
block3_h72_seed14,"3-block, H=72",full,Full,0.8079096666666666,0.010918409056878763,0.8079096666666666,0.010918409056878763,0.847054,0.014443872160885341,0.983051,0.005547535218455117,3
block3_h72_seed14,"3-block, H=72",medium_full,Medium,0.8288943333333334,0.01612188997398675,0.8288943333333334,0.01612188997398675,0.872881,0.013095362232485204,0.983858,0.0038916797144677175,3
block3_h72_seed14,"3-block, H=72",small_full,Small,0.7917676666666668,0.05935905007101564,0.7917676666666668,0.05935905007101564,0.8430186666666667,0.05401100477063294,0.9907179999999999,0.0013977650017080877,3
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,0.8095236666666666,0.03196989825340913,0.8095236666666666,0.03196989825340913,0.8611783333333333,0.020840876573055507,0.9915253333333333,0.0012105000344210964,3
