lambda,variant,variant_label,capacity_label,top1_mean,top1_std,utility_mean,utility_std,relative_latency,latency_ms_b128,n
0.0,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.9739583333333334,0.006049470417593055,1.0,3.443699795752764,3
0.0,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9667469999999999,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.0,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9595356666666666,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.0,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9579326666666667,0.008327122932521967,0.18631239428236,0.6416039541363716,3
0.0,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.9923860000000001,0.0025380000000000402,1.0,3.443699795752764,3
0.0,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9839256666666666,0.005283668643408022,0.382637108570064,1.3176873326301577,3
0.0,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9864636666666667,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.0,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.993232,0.007753718075865301,0.18631239428236,0.6416039541363716,3
0.0,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.854931,0.023747147723463584,1.0,3.443699795752764,3
0.0,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8785660000000001,0.01390285851902403,0.382637108570064,1.3176873326301577,3
0.0,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8687860000000001,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.0,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.876121,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.0,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.8723053333333333,0.029988871424802506,1.0,3.443699795752764,3
0.0,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.883914,0.0014358701194746091,0.382637108570064,1.3176873326301577,3
0.0,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8673299999999999,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.0,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.853234,0.01974429712600582,0.18631239428236,0.6416039541363716,3
0.0,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.8079096666666666,0.010918409056878763,1.0,3.443699795752764,3
0.0,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.8288943333333334,0.01612188997398675,0.382637108570064,1.3176873326301577,3
0.0,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7917676666666668,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.0,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.8095236666666666,0.03196989825340913,0.18631239428236,0.6416039541363716,3
0.01,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.9639583333333333,0.006049470417593055,1.0,3.443699795752764,3
0.01,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9629206289142994,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.01,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9575254774773058,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.01,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.956069542723843,0.008327122932521936,0.18631239428236,0.6416039541363716,3
0.01,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.982386,0.0025380000000000402,1.0,3.443699795752764,3
0.01,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.980099295580966,0.005283668643407991,0.382637108570064,1.3176873326301577,3
0.01,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9844534774773058,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.01,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.9913688760571763,0.0077537180758652895,0.18631239428236,0.6416039541363716,3
0.01,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.844931,0.023747147723463584,1.0,3.443699795752764,3
0.01,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8747396289142993,0.013902858519024104,0.382637108570064,1.3176873326301577,3
0.01,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.866775810810639,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.01,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.8742578760571763,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.01,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.8623053333333334,0.029988871424802506,1.0,3.443699795752764,3
0.01,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8800876289142994,0.0014358701194746172,0.382637108570064,1.3176873326301577,3
0.01,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8653198108106391,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.01,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.8513708760571763,0.019744297126005794,0.18631239428236,0.6416039541363716,3
0.01,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.7979096666666666,0.010918409056878763,1.0,3.443699795752764,3
0.01,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.8250679622476328,0.016121889973986656,0.382637108570064,1.3176873326301577,3
0.01,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7897574774773058,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.01,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.807660542723843,0.03196989825340912,0.18631239428236,0.6416039541363716,3
0.02,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.9539583333333334,0.006049470417593055,1.0,3.443699795752764,3
0.02,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9590942578285987,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.02,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9555152882879447,0.026369318844697717,0.2010189189360956,0.692248810082674,3
0.02,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9542064187810194,0.008327122932521967,0.18631239428236,0.6416039541363716,3
0.02,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.9723859999999999,0.0025380000000000402,1.0,3.443699795752764,3
0.02,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9762729244952654,0.005283668643407991,0.382637108570064,1.3176873326301577,3
0.02,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9824432882879447,0.0063876897493016305,0.2010189189360956,0.692248810082674,3
0.02,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.9895057521143528,0.007753718075865301,0.18631239428236,0.6416039541363716,3
0.02,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.834931,0.023747147723463584,1.0,3.443699795752764,3
0.02,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8709132578285986,0.013902858519024104,0.382637108570064,1.3176873326301577,3
0.02,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8647656216212781,0.024974132117052593,0.2010189189360956,0.692248810082674,3
0.02,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.8723947521143528,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.02,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.8523053333333334,0.029988871424802506,1.0,3.443699795752764,3
0.02,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8762612578285988,0.0014358701194746172,0.382637108570064,1.3176873326301577,3
0.02,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8633096216212781,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.02,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.8495077521143527,0.01974429712600582,0.18631239428236,0.6416039541363716,3
0.02,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.7879096666666667,0.010918409056878763,1.0,3.443699795752764,3
0.02,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.821241591161932,0.016121889973986656,0.382637108570064,1.3176873326301577,3
0.02,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7877472882879447,0.05935905007101558,0.2010189189360956,0.692248810082674,3
0.02,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.8057974187810194,0.03196989825340913,0.18631239428236,0.6416039541363716,3
0.05,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.9239583333333332,0.006049470417593055,1.0,3.443699795752764,3
0.05,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9476151445714969,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.05,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9494847207198619,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.05,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9486170469525487,0.008327122932521967,0.18631239428236,0.6416039541363716,3
0.05,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.942386,0.0025380000000000402,1.0,3.443699795752764,3
0.05,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9647938112381635,0.005283668643408022,0.382637108570064,1.3176873326301577,3
0.05,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9764127207198618,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.05,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.983916380285882,0.007753718075865301,0.18631239428236,0.6416039541363716,3
0.05,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.804931,0.023747147723463584,1.0,3.443699795752764,3
0.05,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8594341445714968,0.01390285851902403,0.382637108570064,1.3176873326301577,3
0.05,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8587350540531952,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.05,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.866805380285882,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.05,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.8223053333333333,0.029988871424802506,1.0,3.443699795752764,3
0.05,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8647821445714969,0.0014358701194746091,0.382637108570064,1.3176873326301577,3
0.05,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8572790540531953,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.05,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.843918380285882,0.01974429712600582,0.18631239428236,0.6416039541363716,3
0.05,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.7579096666666666,0.010918409056878763,1.0,3.443699795752764,3
0.05,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.8097624779048301,0.01612188997398675,0.382637108570064,1.3176873326301577,3
0.05,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7817167207198619,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.05,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.8002080469525487,0.03196989825340913,0.18631239428236,0.6416039541363716,3
0.1,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.8739583333333334,0.006049470417593055,1.0,3.443699795752764,3
0.1,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9284832891429936,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.1,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9394337747730571,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.1,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9393014272384307,0.008327122932521967,0.18631239428236,0.6416039541363716,3
0.1,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.892386,0.0025380000000000402,1.0,3.443699795752764,3
