variant,variant_label,capacity,capacity_label,seed,model,tie_aware_top1,strict_top1,biased_argmin_top1,mean_tie_count,same_action_diff_state_win,same_state_diff_action_win,same_action_diff_state_margin,same_state_diff_action_margin,relative_latency,latency_ms_b128,lambda,utility
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,0,tiny_full_seed0,0.953125,0.951923,0.954327,1.002404,0.96875,0.986779,0.179288,0.188609,0.18631239428236,0.6416039541363716,0.0,0.953125
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,1,tiny_full_seed1,0.967548,0.966346,0.96875,1.002404,0.975962,0.986779,0.18874,0.199597,0.18631239428236,0.6416039541363716,0.0,0.967548
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,2,tiny_full_seed2,0.953125,0.951923,0.954327,1.002404,0.96875,0.984375,0.189649,0.188651,0.18631239428236,0.6416039541363716,0.0,0.953125
block2_h72_seed11,"2-block, H=72",small_full,Small,0,small_full_seed0,0.929087,0.927885,0.930288,1.002404,0.953125,0.985577,0.164265,0.201268,0.2010189189360956,0.692248810082674,0.0,0.929087
block2_h72_seed11,"2-block, H=72",small_full,Small,1,small_full_seed1,0.97476,0.973558,0.975962,1.002404,0.980769,0.989183,0.195657,0.191234,0.2010189189360956,0.692248810082674,0.0,0.97476
block2_h72_seed11,"2-block, H=72",small_full,Small,2,small_full_seed2,0.97476,0.973558,0.975962,1.002404,0.983173,0.985577,0.189935,0.195729,0.2010189189360956,0.692248810082674,0.0,0.97476
block2_h72_seed11,"2-block, H=72",medium_full,Medium,0,medium_full_seed0,0.955529,0.954327,0.956731,1.002404,0.97476,0.986779,0.187505,0.191808,0.382637108570064,1.3176873326301577,0.0,0.955529
block2_h72_seed11,"2-block, H=72",medium_full,Medium,1,medium_full_seed1,0.97476,0.973558,0.975962,1.002404,0.983173,0.986779,0.188466,0.188182,0.382637108570064,1.3176873326301577,0.0,0.97476
block2_h72_seed11,"2-block, H=72",medium_full,Medium,2,medium_full_seed2,0.969952,0.96875,0.971154,1.002404,0.981971,0.984375,0.178739,0.185294,0.382637108570064,1.3176873326301577,0.0,0.969952
block2_h72_seed11,"2-block, H=72",full,Full,0,full_seed0,0.97476,0.973558,0.975962,1.002404,0.986779,0.986779,0.197086,0.184628,1.0,3.443699795752764,0.0,0.97476
block2_h72_seed11,"2-block, H=72",full,Full,1,full_seed1,0.967548,0.966346,0.96875,1.002404,0.985577,0.983173,0.199834,0.188855,1.0,3.443699795752764,0.0,0.967548
block2_h72_seed11,"2-block, H=72",full,Full,2,full_seed2,0.979567,0.978365,0.980769,1.002404,0.990385,0.987981,0.197445,0.189867,1.0,3.443699795752764,0.0,0.979567
