path,size_mb,parent,is_groups,is_dinov2,keys,candidate_indices_shape,correct_candidate_shape,action_shape,action_id_shape,anchor_indices_shape,negative_type_shape,split_shape,z_current_shape,z_future_shape,group_id_shape,horizon_shape,horizon_value,velocity_shape,velocity_value,num_blocked_directions_shape,num_blocked_directions_value,dataset_version_shape,dataset_version_value,image_size_shape,image_size_value
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_h72_seed11/mixed_hard_state_disjoint_v0_groups.npz,0.13747024536132812,block2_h72_seed11,True,False,"anchor_indices,candidate_indices,correct_candidate,negative_type,action,action_id,anchor_blocked,candidate_blocked,anchor_state_xy,candidate_state_xy,split,source_npz,mining_version,candidates,same_state_negatives,same_action_negatives,max_pos_dist,prefer_block_mismatch,seed","(4000, 5)","(4000,)","(4000, 2)","(4000,)","(4000,)","(4000, 5)","(4000,)",,,,,,,,,,,,,
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_h72_seed11/pybullet_obstacle_rgb_v1_ood_block2_h72_seed11_dinov2_vits14.npz,3469.0611152648926,block2_h72_seed11,False,True,"z_current,z_future,cls_current,cls_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,image_size,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 256, 384)","(10000, 256, 384)","(10000,)",(),72,(),1.2,(),2,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_h72_seed11/pybullet_obstacle_rgb_v1_ood_block2_h72_seed11_dinov2_vits14_pool4.npz,138.9963493347168,block2_h72_seed11,False,True,"z_current,z_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,source_grid,target_grid,cls_current,cls_future,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version,image_size","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 16, 384)","(10000, 16, 384)","(10000,)",(),72,(),1.2,(),2,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_v18_seed12/mixed_hard_state_disjoint_v0_groups.npz,0.13744449615478516,block2_v18_seed12,True,False,"anchor_indices,candidate_indices,correct_candidate,negative_type,action,action_id,anchor_blocked,candidate_blocked,anchor_state_xy,candidate_state_xy,split,source_npz,mining_version,candidates,same_state_negatives,same_action_negatives,max_pos_dist,prefer_block_mismatch,seed","(4000, 5)","(4000,)","(4000, 2)","(4000,)","(4000,)","(4000, 5)","(4000,)",,,,,,,,,,,,,
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_v18_seed12/pybullet_obstacle_rgb_v1_ood_block2_v18_seed12_dinov2_vits14.npz,3468.9906492233276,block2_v18_seed12,False,True,"z_current,z_future,cls_current,cls_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,image_size,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 256, 384)","(10000, 256, 384)","(10000,)",(),36,(),1.8,(),2,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block2_v18_seed12/pybullet_obstacle_rgb_v1_ood_block2_v18_seed12_dinov2_vits14_pool4.npz,139.0318603515625,block2_v18_seed12,False,True,"z_current,z_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,source_grid,target_grid,cls_current,cls_future,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version,image_size","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 16, 384)","(10000, 16, 384)","(10000,)",(),36,(),1.8,(),2,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block3_h36_seed13/mixed_hard_state_disjoint_v0_groups.npz,0.13687992095947266,block3_h36_seed13,True,False,"anchor_indices,candidate_indices,correct_candidate,negative_type,action,action_id,anchor_blocked,candidate_blocked,anchor_state_xy,candidate_state_xy,split,source_npz,mining_version,candidates,same_state_negatives,same_action_negatives,max_pos_dist,prefer_block_mismatch,seed","(4000, 5)","(4000,)","(4000, 2)","(4000,)","(4000,)","(4000, 5)","(4000,)",,,,,,,,,,,,,
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block3_h36_seed13/pybullet_obstacle_rgb_v1_ood_block3_h36_seed13_dinov2_vits14.npz,3469.0353717803955,block3_h36_seed13,False,True,"z_current,z_future,cls_current,cls_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,image_size,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 256, 384)","(10000, 256, 384)","(10000,)",(),36,(),1.2,(),3,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block3_h36_seed13/pybullet_obstacle_rgb_v1_ood_block3_h36_seed13_dinov2_vits14_pool4.npz,139.0314121246338,block3_h36_seed13,False,True,"z_current,z_future,action,candidate_indices,correct_candidate,encoder,latent_shape,latent_tokens,latent_dim,action_dim,source_npz,source_grid,target_grid,cls_current,cls_future,group_id,action_id,action_names,state_xy,future_xy,blocked_mask,patch_grid,horizon,velocity,num_blocked_directions,dataset_version,image_size","(2000, 5)","(2000, 5)","(10000, 2)","(10000,)",,,,"(10000, 16, 384)","(10000, 16, 384)","(10000,)",(),36,(),1.2,(),3,(),pybullet_obstacle_exact_intervention_v1_rgb,(),224
outputs/counterfactual/pybullet_obstacles_rgb_v5_3_ood/block3_h48_seed10/mixed_hard_state_disjoint_v0_groups.npz,0.1365203857421875,block3_h48_seed10,True,False,"anchor_indices,candidate_indices,correct_candidate,negative_type,action,action_id,anchor_blocked,candidate_blocked,anchor_state_xy,candidate_state_xy,split,source_npz,mining_version,candidates,same_state_negatives,same_action_negatives,max_pos_dist,prefer_block_mismatch,seed","(4000, 5)","(4000,)","(4000, 2)","(4000,)","(4000,)","(4000, 5)","(4000,)",,,,,,,,,,,,,
