variant,blocked,horizon,layout_seed,model,model_label,biased_argmin_top1,strict_top1,tie_aware_top1,mean_tie_count,same_action_diff_state_win,same_action_diff_state_margin,same_action_diff_state_count,same_state_diff_action_win,same_state_diff_action_margin,same_state_diff_action_count
block1_h36_seed20,1,36,20,tiny_full_seed0,Tiny,0.935129,0.935129,0.935129,1.0,0.954712,0.194122,1634,0.995104,0.219117,1634
block1_h36_seed20,1,36,20,small_full_seed0,Small,0.926561,0.926561,0.926561,1.0,0.94798,0.197471,1634,0.993268,0.22808,1634
block1_h36_seed20,1,36,20,medium_full_seed0,Medium,0.970624,0.970624,0.970624,1.0,0.98164,0.214191,1634,0.998776,0.215982,1634
block1_h36_seed20,1,36,20,full_seed0,Full,0.968176,0.968176,0.968176,1.0,0.979192,0.212769,1634,0.998164,0.208049,1634
block1_h36_seed21,1,36,21,tiny_full_seed0,Tiny,0.947891,0.947891,0.947891,1.0,0.96464,0.198755,1612,0.996898,0.218227,1612
block1_h36_seed21,1,36,21,small_full_seed0,Small,0.951613,0.951613,0.951613,1.0,0.970223,0.202825,1612,0.998759,0.227088,1612
block1_h36_seed21,1,36,21,medium_full_seed0,Medium,0.976427,0.976427,0.976427,1.0,0.988213,0.226513,1612,0.995658,0.217011,1612
block1_h36_seed21,1,36,21,full_seed0,Full,0.962779,0.962779,0.962779,1.0,0.973945,0.219563,1612,0.995037,0.207956,1612
block1_h36_seed22,1,36,22,tiny_full_seed0,Tiny,0.939774,0.939774,0.939774,1.0,0.95734,0.183575,1594,0.996236,0.204807,1594
block1_h36_seed22,1,36,22,small_full_seed0,Small,0.941029,0.941029,0.941029,1.0,0.963614,0.192566,1594,0.996236,0.221995,1594
block1_h36_seed22,1,36,22,medium_full_seed0,Medium,0.967378,0.967378,0.967378,1.0,0.981807,0.214017,1594,0.995609,0.21054,1594
block1_h36_seed22,1,36,22,full_seed0,Full,0.966123,0.966123,0.966123,1.0,0.977415,0.206857,1594,1.0,0.201557,1594
block1_h72_seed20,1,72,20,tiny_full_seed0,Tiny,0.878825,0.878825,0.878825,1.0,0.917381,0.160574,1634,0.97552,0.199788,1634
block1_h72_seed20,1,72,20,small_full_seed0,Small,0.892289,0.892289,0.892289,1.0,0.925949,0.170604,1634,0.977968,0.224532,1634
block1_h72_seed20,1,72,20,medium_full_seed0,Medium,0.924113,0.924113,0.924113,1.0,0.9541,0.181233,1634,0.980416,0.203244,1634
block1_h72_seed20,1,72,20,full_seed0,Full,0.878825,0.878825,0.878825,1.0,0.925949,0.170556,1634,0.959608,0.176391,1634
block1_h72_seed21,1,72,21,tiny_full_seed0,Tiny,0.883375,0.883375,0.883375,1.0,0.923697,0.169339,1612,0.978908,0.200812,1612
block1_h72_seed21,1,72,21,small_full_seed0,Small,0.921836,0.921836,0.921836,1.0,0.950372,0.182327,1612,0.991935,0.228203,1612
block1_h72_seed21,1,72,21,medium_full_seed0,Medium,0.925558,0.925558,0.925558,1.0,0.965881,0.193335,1612,0.977047,0.205096,1612
block1_h72_seed21,1,72,21,full_seed0,Full,0.887097,0.887097,0.887097,1.0,0.943548,0.17832,1612,0.967122,0.176999,1612
block1_h72_seed22,1,72,22,tiny_full_seed0,Tiny,0.879548,0.879548,0.879548,1.0,0.9266,0.157919,1594,0.975533,0.190867,1594
block1_h72_seed22,1,72,22,small_full_seed0,Small,0.903388,0.903388,0.903388,1.0,0.939147,0.172897,1594,0.985571,0.219833,1594
block1_h72_seed22,1,72,22,medium_full_seed0,Medium,0.932246,0.932246,0.932246,1.0,0.960477,0.187681,1594,0.984316,0.201272,1594
block1_h72_seed22,1,72,22,full_seed0,Full,0.87202,0.87202,0.87202,1.0,0.934755,0.170182,1594,0.964868,0.174571,1594
block2_h36_seed20,2,36,20,tiny_full_seed0,Tiny,0.998731,0.998731,0.998731,1.0,1.0,0.222329,1576,0.999365,0.206745,1576
block2_h36_seed20,2,36,20,small_full_seed0,Small,0.998731,0.998731,0.998731,1.0,1.0,0.215056,1576,0.999365,0.210193,1576
block2_h36_seed20,2,36,20,medium_full_seed0,Medium,0.997462,0.997462,0.997462,1.0,0.998731,0.226346,1576,0.998731,0.200254,1576
block2_h36_seed20,2,36,20,full_seed0,Full,1.0,1.0,1.0,1.0,1.0,0.231079,1576,1.0,0.207964,1576
block2_h36_seed21,2,36,21,tiny_full_seed0,Tiny,1.0,1.0,1.0,1.0,1.0,0.226523,1592,1.0,0.207191,1592
block2_h36_seed21,2,36,21,small_full_seed0,Small,0.996231,0.996231,0.996231,1.0,0.999372,0.220486,1592,0.998744,0.207874,1592
block2_h36_seed21,2,36,21,medium_full_seed0,Medium,0.996231,0.996231,0.996231,1.0,0.998116,0.224484,1592,0.998744,0.20108,1592
block2_h36_seed21,2,36,21,full_seed0,Full,0.997487,0.997487,0.997487,1.0,0.998116,0.232017,1592,1.0,0.206905,1592
block2_h36_seed22,2,36,22,tiny_full_seed0,Tiny,0.988889,0.988889,0.988889,1.0,0.993827,0.220714,1620,0.999383,0.205619,1620
block2_h36_seed22,2,36,22,small_full_seed0,Small,0.992593,0.992593,0.992593,1.0,0.995679,0.217348,1620,0.999383,0.208781,1620
block2_h36_seed22,2,36,22,medium_full_seed0,Medium,0.990123,0.990123,0.990123,1.0,0.994444,0.221547,1620,0.998765,0.201659,1620
block2_h36_seed22,2,36,22,full_seed0,Full,0.997531,0.997531,0.997531,1.0,0.998148,0.227921,1620,1.0,0.205899,1620
block2_h72_seed20,2,72,20,tiny_full_seed0,Tiny,0.974619,0.972081,0.97335,1.002538,0.984772,0.178374,1576,0.992386,0.191532,1576
block2_h72_seed20,2,72,20,small_full_seed0,Small,0.925127,0.922589,0.923858,1.002538,0.951777,0.164373,1576,0.989213,0.203454,1576
block2_h72_seed20,2,72,20,medium_full_seed0,Medium,0.968274,0.965736,0.967005,1.002538,0.984772,0.179467,1576,0.990482,0.188845,1576
block2_h72_seed20,2,72,20,full_seed0,Full,0.974619,0.974619,0.974619,1.0,0.985406,0.190575,1576,0.991117,0.184895,1576
block2_h72_seed21,2,72,21,tiny_full_seed0,Tiny,0.978643,0.978643,0.978643,1.0,0.988693,0.184207,1592,0.99309,0.192953,1592
block2_h72_seed21,2,72,21,small_full_seed0,Small,0.93593,0.93593,0.93593,1.0,0.955402,0.171393,1592,0.993719,0.201589,1592
block2_h72_seed21,2,72,21,medium_full_seed0,Medium,0.974874,0.974874,0.974874,1.0,0.986181,0.181302,1592,0.993719,0.191371,1592
block2_h72_seed21,2,72,21,full_seed0,Full,0.982412,0.982412,0.982412,1.0,0.99309,0.196688,1592,0.989322,0.187212,1592
block2_h72_seed22,2,72,22,tiny_full_seed0,Tiny,0.969136,0.969136,0.969136,1.0,0.978395,0.179146,1620,0.994444,0.191013,1620
block2_h72_seed22,2,72,22,small_full_seed0,Small,0.94321,0.94321,0.94321,1.0,0.960494,0.170665,1620,0.994444,0.201539,1620
block2_h72_seed22,2,72,22,medium_full_seed0,Medium,0.969136,0.969136,0.969136,1.0,0.983951,0.183961,1620,0.996914,0.191948,1620
block2_h72_seed22,2,72,22,full_seed0,Full,0.975309,0.975309,0.975309,1.0,0.987037,0.192302,1620,0.989506,0.183835,1620
block3_h36_seed20,3,36,20,tiny_full_seed0,Tiny,0.922095,0.922095,0.922095,1.0,0.945083,0.157797,1566,0.99553,0.140022,1566
