blocked,model,action_acc,mean_regret,blocked_action_rate,acc_gap_vs_greedy,regret_reduction_vs_greedy
1,Tiny,0.8229166666666666,0.0340617231170957,0.2083333333333333,-0.140625,-0.0333897321252153
1,Medium,0.7135416666666666,0.0746360755874775,0.1875,-0.25,-0.0739640845955971
1,Full,0.7760416666666666,0.0536807638903458,0.1614583333333333,-0.1875,-0.0530087728984654
2,Tiny,0.8333333333333334,0.0212106348092978,0.5,-0.13020833333333326,-0.0194390242686495
2,Medium,0.7395833333333334,0.0500171257202358,0.4375,-0.22395833333333326,-0.0482455151795875
2,Full,0.796875,0.0387714251895279,0.4479166666666667,-0.16666666666666663,-0.0369998146488796
3,Tiny,0.8385416666666666,0.0128764538094401,0.703125,-0.140625,-0.0121057691673438
3,Medium,0.7604166666666666,0.0410161266724268,0.71875,-0.21875,-0.0402454420303305
3,Full,0.8177083333333334,0.0229244506917893,0.7239583333333334,-0.16145833333333326,-0.022153766049692998
4,Tiny,0.8020833333333334,0.0105606039675573,1.0,-0.19791666666666663,-0.0105606039675573
4,Medium,0.7447916666666666,0.0196609090392788,1.0,-0.25520833333333337,-0.0196609090392788
4,Full,0.796875,0.0128476708196103,1.0,-0.203125,-0.0128476708196103
