variant_label,pattern_TinySmallMediumFull,count,frac
"3-block, H=36",1111,942,0.7677261613691931
"3-block, H=36",0000,65,0.05297473512632437
"3-block, H=36",1110,33,0.02689486552567237
"3-block, H=36",1011,30,0.02444987775061125
"3-block, H=36",0111,25,0.020374898125509373
"3-block, H=36",1100,23,0.018744906275468622
"3-block, H=36",0011,21,0.017114914425427872
"3-block, H=36",1000,18,0.014669926650366748
"3-block, H=36",1101,17,0.013854930725346373
"3-block, H=36",0100,12,0.009779951100244499
"3-block, H=36",0010,11,0.008964955175224124
"3-block, H=36",1010,8,0.006519967400162999
"3-block, H=36",0110,8,0.006519967400162999
"3-block, H=36",0101,6,0.004889975550122249
"3-block, H=36",0001,4,0.0032599837000814994
"3-block, H=36",1001,4,0.0032599837000814994
"3-block, H=48",1111,916,0.7595356550580431
"3-block, H=48",0000,61,0.0505804311774461
"3-block, H=48",0111,44,0.03648424543946932
"3-block, H=48",1110,29,0.02404643449419569
"3-block, H=48",1011,28,0.02321724709784411
"3-block, H=48",1101,21,0.017412935323383085
"3-block, H=48",0011,20,0.01658374792703151
"3-block, H=48",0001,17,0.014096185737976783
"3-block, H=48",1100,16,0.013266998341625208
"3-block, H=48",0010,15,0.012437810945273632
"3-block, H=48",0100,10,0.008291873963515755
"3-block, H=48",1000,9,0.007462686567164179
"3-block, H=48",1010,8,0.006633499170812604
"3-block, H=48",0110,6,0.004975124378109453
"3-block, H=48",0101,4,0.003316749585406302
"3-block, H=48",1001,2,0.001658374792703151
"3-block, H=72",1111,812,0.655367231638418
"3-block, H=72",0000,80,0.0645682001614205
"3-block, H=72",1011,48,0.0387409200968523
"3-block, H=72",0011,47,0.037933817594834544
"3-block, H=72",1110,39,0.031476997578692496
"3-block, H=72",0111,39,0.031476997578692496
"3-block, H=72",1000,29,0.023405972558514933
"3-block, H=72",1100,27,0.021791767554479417
"3-block, H=72",1101,25,0.020177562550443905
"3-block, H=72",0100,21,0.01694915254237288
"3-block, H=72",0010,16,0.0129136400322841
"3-block, H=72",0001,15,0.012106537530266344
"3-block, H=72",1010,15,0.012106537530266344
"3-block, H=72",0110,11,0.00887812752219532
"3-block, H=72",1001,8,0.00645682001614205
"3-block, H=72",0101,7,0.005649717514124294
"2-block, H=72",1111,1158,0.9278846153846154
"2-block, H=72",0000,22,0.017628205128205128
"2-block, H=72",0111,16,0.01282051282051282
"2-block, H=72",1011,13,0.010416666666666666
"2-block, H=72",1101,10,0.008012820512820512
"2-block, H=72",1110,7,0.005608974358974359
"2-block, H=72",0011,7,0.005608974358974359
"2-block, H=72",0001,5,0.004006410256410256
"2-block, H=72",1010,3,0.002403846153846154
"2-block, H=72",0101,3,0.002403846153846154
"2-block, H=72",1001,2,0.0016025641025641025
"2-block, H=72",1100,1,0.0008012820512820513
"2-block, H=72",0110,1,0.0008012820512820513
"2-block, V=1.8",1111,1146,0.9695431472081218
"2-block, V=1.8",1101,9,0.007614213197969543
"2-block, V=1.8",1011,8,0.00676818950930626
"2-block, V=1.8",1100,3,0.0025380710659898475
"2-block, V=1.8",1001,3,0.0025380710659898475
"2-block, V=1.8",0111,3,0.0025380710659898475
"2-block, V=1.8",0101,2,0.001692047377326565
"2-block, V=1.8",1010,2,0.001692047377326565
"2-block, V=1.8",1110,2,0.001692047377326565
"2-block, V=1.8",1000,1,0.0008460236886632825
"2-block, V=1.8",0011,1,0.0008460236886632825
"2-block, V=1.8",0001,1,0.0008460236886632825
"2-block, V=1.8",0110,1,0.0008460236886632825
