lambda,variant,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_util,context_route,geometry_util,geometry_route,geometry_acc,geometry_minus_context,geometry_minus_cheap,geometry_minus_full
0.02,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.9787789987789988,0.99997557997558,0.001221001221001221,0.9976068376068375,0.05860805860805861,0.99997557997558,0.001221001221001221,0.99997557997558,0.001221001221001221,1.0,0.0,0.0011965811965811701,0.021196581196581188
0.02,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.9559615384615384,0.9797596153846155,0.05048076923076923,0.9661538461538464,0.25,0.9791826923076924,0.07932692307692307,0.9794711538461539,0.06490384615384616,0.9807692307692307,0.00028846153846151523,0.049182692307692344,0.02350961538461549
0.02,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.9749238578680203,0.997258883248731,0.01015228426395939,0.9926903553299492,0.1116751269035533,0.9971065989847716,0.017766497461928935,0.9972081218274113,0.012690355329949238,0.9974619289340102,0.00010152284263964528,0.009898477157360475,0.022284263959390982
0.02,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.8088508557457212,0.940440097799511,0.044009779951100246,0.8300244498777507,0.43031784841075793,0.8922738386308069,0.007334963325183374,0.8922249388753056,0.009779951100244499,0.8924205378973105,-4.88997555012638e-05,-0.005085574572127105,0.08337408312958439
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8596019900497514,0.42786069651741293,0.8580099502487563,0.009950248756218905,0.8624378109452736,0.03731343283582089,0.8631840796019901,0.0044278606965173495,0.009203980099502518,0.041641791044776166
0.02,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7984019370460048,0.892590799031477,0.16464891041162227,0.7955447941888621,0.5375302663438256,0.782857142857143,0.2033898305084746,0.7917675544794189,0.24213075060532688,0.7966101694915254,0.008910411622275904,0.060532687651331796,-0.0066343825665858835
0.05,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.9487789987789987,0.9999389499389499,0.001221001221001221,0.9981074481074481,0.013431013431013432,0.9999389499389499,0.001221001221001221,0.9999389499389499,0.001221001221001221,1.0,0.0,0.0011599511599511558,0.0511599511599512
0.05,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.9259615384615384,0.9782451923076922,0.05048076923076923,0.9592548076923075,0.09375,0.9768028846153847,0.07932692307692307,0.9775240384615385,0.06490384615384616,0.9807692307692307,0.0007211538461537881,0.047235576923076894,0.05156250000000007
0.05,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.9449238578680202,0.9969543147208122,0.01015228426395939,0.9928934010152284,0.04060913705583756,0.9965736040609137,0.017766497461928935,0.9968274111675127,0.012690355329949238,0.9974619289340102,0.0002538071065990577,0.009517766497461944,0.05190355329949248
0.05,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7788508557457212,0.9391198044009781,0.044009779951100246,0.8572127139364304,0.21515892420537897,0.8920537897310514,0.007334963325183374,0.8919315403422983,0.009779951100244499,0.8924205378973105,-0.0001222493887531595,-0.005378973105134466,0.11308068459657705
