variant,variant_label,lambda,feature,std,corr_gain,corr_route,auc_route,mean_route1,mean_route0,n,route_rate
ALL,ALL,0.02,cheap_confidence,0.13561323646012952,-0.12321259969533799,-0.39693276983476045,0.09775270631994237,0.6907785415214344,0.9425437071405911,2853,0.04801962846126884
ALL,ALL,0.02,cheap_uncertainty,0.13561323646012952,0.12321259969533799,0.39693276983476045,0.9022472936800576,0.30922145847856564,0.057456292859408925,2853,0.04801962846126884
ALL,ALL,0.02,cheap_best_distance,0.2655604916324287,-0.0439347358196684,-0.007685469665993379,0.48195876288659795,1.8535448469384743,1.8630906062993455,2853,0.04801962846126884
ALL,ALL,0.02,cheap_second_best_distance,0.2540810505443701,-0.06310487137057329,-0.09091175270446639,0.3703694247659181,1.8819368868848703,1.989972990417691,2853,0.04801962846126884
ALL,ALL,0.02,cheap_pred_margin,0.07470259196567108,-0.058450742516365825,-0.2818911094909598,0.09794083183728755,0.02839203994639594,0.12688238411834554,2853,0.04801962846126884
ALL,ALL,0.02,action_1,0.4273559371240788,0.038853556889552575,0.07694569021141105,0.57689899272223,0.38686131386861317,0.23306332842415317,2853,0.04801962846126884
ALL,ALL,0.02,action_2,0.4371311310824074,-0.05547994432059595,0.017827279165187473,0.518223987615966,0.291970802919708,0.2555228276877761,2853,0.04801962846126884
ALL,ALL,0.02,action_3,0.43376891922016425,0.01838088969395234,-0.012963427495938354,0.4868500263375724,0.22627737226277372,0.25257731958762886,2853,0.04801962846126884
ALL,ALL,0.02,action_4,0.4335677798535249,-0.0007503926118494997,-0.08084762278944448,0.41802699332423165,0.0948905109489051,0.25883652430044185,2853,0.04801962846126884
ALL,ALL,0.02,horizon_norm,0.43851396184791874,0.12152164621917506,0.19099894820225863,0.7306526342947444,0.7104622871046229,0.3187285223367698,2853,0.04801962846126884
ALL,ALL,0.02,velocity_norm,0.3450051703792904,-0.0015568237044529102,-0.0708941335482242,0.4428017802048956,0.02919708029197081,0.14359351988217972,2853,0.04801962846126884
ALL,ALL,0.02,blocked_norm,0.49493649608719725,-0.018527661694786115,0.17297975477176059,0.7002125818346,0.8102189781021898,0.4097938144329897,2853,0.04801962846126884
ALL,ALL,0.02,blocked_x_horizon,0.35164798919757984,0.0997114150182596,0.23340747751082228,0.7293585994861486,0.5571776155717761,0.17329405989199803,2853,0.04801962846126884
ALL,ALL,0.02,blocked_x_velocity,0.0,,,0.5,0.0,0.0,2853,0.04801962846126884
ALL,ALL,0.02,complexity_score,0.7291054525091436,0.0351454600009123,0.21322271285211486,0.7494611547681757,1.3819951338199512,0.6548846342660776,2853,0.04801962846126884
ALL,ALL,0.02,uncertainty_x_blocked,0.125523921093276,0.06805483351154908,0.3494640669613112,0.8077599088397494,0.24863765122246567,0.043471538825221194,2853,0.04801962846126884
