seed,split,method,error,identity_error,improvement_vs_identity,ratio_vs_identity,alpha_mean,alpha_std,n_bins,gamma
0,val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0,0,0.0
0,val,global_alpha_val,1.4227076768875122,1.4321844577789307,0.009476780891418457,0.9933829885948383,0.36,0.0,0,0.0
0,val,rank_calibrated_alpha_bins,1.422489047050476,1.4321844577789307,0.00969541072845459,0.9932303337912978,0.36476340889930725,0.05413458123803139,8,0.98
0,val,oracle_per_sample_alpha,1.399816870689392,1.4321844577789307,0.032367587089538574,0.9773998475449628,0.28240397572517395,0.35146254301071167,0,0.0
0,test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0,0,0.0
0,test,global_alpha_val,1.5988246202468872,1.6069767475128174,0.008152127265930176,0.9949270409304009,0.36,0.0,0,0.0
0,test,rank_calibrated_alpha_bins,1.598876714706421,1.6069767475128174,0.008100032806396484,0.9949594586113749,0.37067243456840515,0.050936195999383926,8,0.98
0,test,oracle_per_sample_alpha,1.581164836883545,1.6069767475128174,0.02581191062927246,0.9839375954448485,0.27553728222846985,0.32812729477882385,0,0.0
1,val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0,0,0.0
1,val,global_alpha_val,1.4231507778167725,1.4321844577789307,0.009033679962158203,0.9936923767653729,0.38,0.0,0,0.0
1,val,rank_calibrated_alpha_bins,1.4229525327682495,1.4321844577789307,0.009231925010681152,0.9935539553159247,0.37385454773902893,0.05441984906792641,10,0.98
1,val,oracle_per_sample_alpha,1.402066707611084,1.4321844577789307,0.03011775016784668,0.9789707603624228,0.2821408212184906,0.34844234585762024,0,0.0
1,test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0,0,0.0
1,test,global_alpha_val,1.59995436668396,1.6069767475128174,0.007022380828857422,0.9956300669317548,0.38,0.0,0,0.0
1,test,rank_calibrated_alpha_bins,1.5998637676239014,1.6069767475128174,0.007112979888916016,0.9955736883561476,0.37706032395362854,0.05183679237961769,10,0.98
1,test,oracle_per_sample_alpha,1.584238886833191,1.6069767475128174,0.022737860679626465,0.9858505353516666,0.2740359306335449,0.3267611861228943,0,0.0
2,val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0,0,0.0
2,val,global_alpha_val,1.4239695072174072,1.4321844577789307,0.008214950561523438,0.9942640415367561,0.35000000000000003,0.0,0,0.0
2,val,rank_calibrated_alpha_bins,1.4236502647399902,1.4321844577789307,0.00853419303894043,0.9940411355586308,0.3514477014541626,0.06935851275920868,8,1.0
2,val,oracle_per_sample_alpha,1.4037489891052246,1.4321844577789307,0.028435468673706055,0.9801453866369947,0.2747311592102051,0.3464423716068268,0,0.0
2,test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0,0,0.0
2,test,global_alpha_val,1.5991731882095337,1.6069767475128174,0.007803559303283691,0.9951439500818157,0.35000000000000003,0.0,0,0.0
2,test,rank_calibrated_alpha_bins,1.5990784168243408,1.6069767475128174,0.007898330688476562,0.9950849751244372,0.34706762433052063,0.06785517185926437,8,1.0
2,test,oracle_per_sample_alpha,1.583669900894165,1.6069767475128174,0.023306846618652344,0.9854964630603863,0.2922458350658417,0.33515414595603943,0,0.0
