split,group,n,identity_error,global_error,improvement_global,cosine_mean,cosine_median,cosine_positive_frac,true_delta_norm,pred_delta_norm,norm_ratio,alpha_oracle_mean,alpha_oracle_std,action_norm
val,ALL,10890,1.4321845,1.4222802,0.009904449,0.061311334,0.047461696,0.7211202938475666,14.341398239135742,4.855072021484375,0.3123376965522766,0.2960919,0.35751128,0.705342
val,gap=1,2188,1.1041907,1.09856,0.005630736,0.04685814,0.033151552,0.6677330895795247,10.799041748046875,4.815262794494629,0.40773826837539673,0.21520957,0.31779233,0.2399716
val,gap=2,2183,1.2294457,1.2225033,0.0069423644,0.05283702,0.038717184,0.7036188731103985,12.666799545288086,4.830073356628418,0.3480987250804901,0.24565056,0.32633105,0.47681952
val,gap=3,2178,1.4016896,1.3920983,0.00959127,0.061168205,0.04946775,0.7249770431588614,14.524785041809082,4.854742050170898,0.30645883083343506,0.29626945,0.352891,0.71007097
val,gap=4,2173,1.6007812,1.5890056,0.011775588,0.06906867,0.056065504,0.7501150483202945,16.660905838012695,4.875415325164795,0.2709501385688782,0.34109265,0.37167686,0.93967485
val,gap=5,2168,1.828996,1.8133566,0.015639333,0.07679937,0.06287822,0.7596863468634686,18.643701553344727,4.889407157897949,0.24163177609443665,0.38322777,0.38825116,1.165485
val,action_bin=0,2178,0.92555934,0.9217368,0.0038225956,0.049615815,0.036179505,0.6919191919191919,10.934403419494629,4.882393836975098,0.431468665599823,0.21534981,0.31346115,0.10112651
val,action_bin=1,2178,1.2846831,1.2756857,0.00899746,0.05757346,0.04159023,0.7015610651974288,12.312847137451172,4.833883762359619,0.3669695556163788,0.2655892,0.3489621,0.30018434
val,action_bin=2,2178,1.3626962,1.353723,0.008973183,0.060403578,0.049772255,0.7254361799816346,13.953226089477539,4.835884094238281,0.323544979095459,0.28421488,0.3435638,0.55010796
val,action_bin=3,2178,1.5381873,1.5277221,0.010465192,0.06266258,0.05076681,0.7359963269054178,16.127025604248047,4.889858245849609,0.28096330165863037,0.30607858,0.352177,0.92912924
val,action_bin=4,2178,2.049797,2.0325332,0.017263813,0.07630125,0.06441618,0.7506887052341598,20.352270126342773,4.814996719360352,0.2234732061624527,0.40922692,0.3958659,1.6461619
test,ALL,50980,1.6069767,1.5982847,0.008691967,0.057029642,0.049932834,0.7574342879560612,16.493104934692383,4.468476295471191,0.269501656293869,0.29725352,0.33732742,0.75077766
test,gap=1,10232,1.2926263,1.2875199,0.0051063546,0.045630816,0.03811954,0.7088545738858483,12.987543106079102,4.446335315704346,0.33840811252593994,0.2293686,0.31516898,0.25303882
test,gap=2,10214,1.4326421,1.4260131,0.0066290423,0.0510558,0.043875016,0.7321323673389466,14.955377578735352,4.451799392700195,0.296054482460022,0.2610544,0.32275128,0.5042111
test,gap=3,10196,1.6243887,1.6155399,0.008848881,0.057430707,0.05034069,0.7626520204001569,16.808971405029297,4.46314001083374,0.26393961906433105,0.2985013,0.3345258,0.753478
test,gap=4,10178,1.7589008,1.7483773,0.0105233155,0.06321054,0.056763887,0.7860090391039497,18.601947784423828,4.480341911315918,0.2408788949251175,0.33214155,0.34322017,1.0009483
test,gap=5,10160,1.9291488,1.916764,0.012384814,0.067920506,0.061883487,0.7979330708661417,20.417728424072266,4.503215789794922,0.22044874727725983,0.36580893,0.35222036,1.246597
test,action_bin=0,10196,1.2849861,1.2799177,0.005068439,0.047227234,0.039952837,0.712338171832091,13.433740615844727,4.454084396362305,0.3306438624858856,0.23373967,0.31303653,0.10978219
test,action_bin=1,10196,1.3745779,1.3683323,0.006245659,0.050180264,0.042263113,0.7302863868183601,14.47001838684082,4.460114002227783,0.3065146803855896,0.2505884,0.31754068,0.32238972
test,action_bin=2,10196,1.5448692,1.5367563,0.008112824,0.055456616,0.048529714,0.7513730874852883,15.918858528137207,4.465122222900391,0.2781684100627899,0.28457975,0.33141616,0.583083
test,action_bin=3,10196,1.746196,1.7357328,0.010463389,0.06185496,0.055001564,0.7825617889368379,18.060565948486328,4.476723670959473,0.24475562572479248,0.32616237,0.341226,0.9945961
test,action_bin=4,10196,2.084254,2.0706844,0.013569524,0.07042914,0.06429963,0.8106120047077285,21.493446350097656,4.488935470581055,0.20699375867843628,0.3911974,0.357579,1.7440374
