split,model,rule,alpha,error,identity_error,improvement_vs_identity,ratio_vs_identity
val,cheap_residual,raw_alpha_1,1.0,1.4512611627578735,1.4321845769882202,-0.01907658576965332,1.013319921242114
val,cheap_residual,oracle_best_alpha_on_this_split,0.35000000000000003,1.4239695072174072,1.4321845769882202,0.008215069770812988,0.9942639587782123
val,cheap_residual,alpha_selected_on_val,0.35000000000000003,1.4239695072174072,1.4321845769882202,0.008215069770812988,0.9942639587782123
val,expensive_residual,raw_alpha_1,1.0,1.450237512588501,1.4321845769882202,-0.01805293560028076,1.0126051738653998
val,expensive_residual,oracle_best_alpha_on_this_split,0.31,1.4278643131256104,1.4321845769882202,0.004320263862609863,0.9969834447793768
val,expensive_residual,alpha_selected_on_val,0.31,1.4278643131256104,1.4321845769882202,0.004320263862609863,0.9969834447793768
test,cheap_residual,raw_alpha_1,1.0,1.6204663515090942,1.6069767475128174,-0.013489603996276855,1.008394398996224
test,cheap_residual,oracle_best_alpha_on_this_split,0.38,1.5991320610046387,1.6069767475128174,0.007844686508178711,0.9951183571757835
test,cheap_residual,alpha_selected_on_val,0.35000000000000003,1.5991733074188232,1.6069767475128174,0.007803440093994141,0.995144024264152
test,expensive_residual,raw_alpha_1,1.0,1.6213526725769043,1.6069767475128174,-0.014375925064086914,1.0089459446668019
test,expensive_residual,oracle_best_alpha_on_this_split,0.31,1.6033360958099365,1.6069767475128174,0.0036406517028808594,0.9977344714486283
test,expensive_residual,alpha_selected_on_val,0.31,1.6033360958099365,1.6069767475128174,0.0036406517028808594,0.9977344714486283
