heldout,run,method,error,compute,selected,utility,delta_utility,threshold,calib_delta,calib_selected,inner_min_delta,inner_mean_delta,inner_median_threshold,inner_conservative_threshold
P000,cheap10_exp20,cheap-only,1.822764277458191,1.0,0.0,-1.862764277458191,0.0,,,,,,,
P000,cheap10_exp20,all-expensive,1.8636081218719482,4.0,1.0,-2.0236081218719484,-0.16084384441375743,,,,,,,
P000,cheap10_exp20,oracle upper bound,1.7754884958267212,1.484263959390863,0.16142131979695432,-1.8348590542023557,0.02790522325583522,,,,,,,
P000,cheap10_exp20,sample RF,1.822764277458191,1.0,0.0,-1.862764277458191,0.0,0.9519713521003723,1.185992104679734e-05,0.00035714285714285714,,,,
P000,cheap10_exp20,sample RF + fallback,1.822764277458191,1.0,0.0,-1.862764277458191,0.0,0.9519713521003723,1.185992104679734e-05,0.00035714285714285714,,,,
P000,cheap10_exp20,trajectory-aware RF median,1.8249162435531616,1.1827411167512691,0.06091370558375635,-1.8722258882232123,-0.009461610765021389,0.4769456849822998,,,0.0,4.950015525131413e-05,0.4769456849822998,0.5529394149780273
P000,cheap10_exp20,trajectory-aware RF conservative,1.8230797052383423,1.0060913705583756,0.0020304568527918783,-1.8633233600606773,-0.0005590826024863826,0.5529394149780273,,,0.0,4.950015525131413e-05,0.4769456849822998,0.5529394149780273
P000,cheap10_exp20,trajectory-aware RF safe fallback,1.822764277458191,1.0,0.0,-1.862764277458191,0.0,0.5529394149780273,,,0.0,4.950015525131413e-05,0.4769456849822998,0.5529394149780273
P000,cheap5_exp20,cheap-only,1.8506298065185547,1.0,0.0,-1.8906298065185547,0.0,,,,,,,
P000,cheap5_exp20,all-expensive,1.8367072343826294,4.0,1.0,-1.9967072343826293,-0.10607742786407459,,,,,,,
P000,cheap5_exp20,oracle upper bound,1.7618417739868164,1.9243654822335026,0.3081218274111675,-1.8388163932761565,0.05181341324239819,,,,,,,
P000,cheap5_exp20,sample RF,1.8467715978622437,1.7050761421319796,0.2350253807106599,-1.9149746435475228,-0.024344837028968058,0.6509435105323792,0.006736809349060069,0.32,,,,
P000,cheap5_exp20,sample RF + fallback,1.8506298065185547,1.0,0.0,-1.8906298065185547,0.0,0.6509435105323792,0.006736809349060069,0.32,,,,
P000,cheap5_exp20,trajectory-aware RF median,1.8458207845687866,1.7766497461928934,0.25888324873096447,-1.9168867744165023,-0.026256967897947625,0.645451364517212,,,0.0,0.0025596708063207797,0.645451364517212,0.7029792070388794
P000,cheap5_exp20,trajectory-aware RF conservative,1.8513401746749878,1.0685279187817258,0.02284263959390863,-1.8940812914262568,-0.003451484907702085,0.7029792070388794,,,0.0,0.0025596708063207797,0.645451364517212,0.7029792070388794
P000,cheap5_exp20,trajectory-aware RF safe fallback,1.8506298065185547,1.0,0.0,-1.8906298065185547,0.0,0.7029792070388794,,,0.0,0.0025596708063207797,0.645451364517212,0.7029792070388794
P001,cheap10_exp20,cheap-only,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,,,,,,,
P001,cheap10_exp20,all-expensive,2.543337345123291,4.0,1.0,-2.703337345123291,-0.18675839424133311,,,,,,,
P001,cheap10_exp20,oracle upper bound,2.4506447315216064,1.292462311557789,0.09748743718592964,-2.502343223983918,0.014235726898040202,,,,,,,
P001,cheap10_exp20,sample RF,2.4765777587890625,1.1899497487437185,0.06331658291457286,-2.5241757487388115,-0.00759679785685341,0.6938892936706543,0.0064072491676141485,0.22025912838633688,,,,
P001,cheap10_exp20,sample RF + fallback,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.6938892936706543,0.0064072491676141485,0.22025912838633688,,,,
P001,cheap10_exp20,trajectory-aware RF median,2.4763565063476562,1.322613065326633,0.10753768844221105,-2.5292610289607214,-0.012682078078763315,0.6732447014579773,,,0.0,0.002536086433313578,0.6732447014579773,0.6917781573534011
P001,cheap10_exp20,trajectory-aware RF conservative,2.4749093055725098,1.2160804020100502,0.07202680067001675,-2.5235525216529116,-0.006973570770953508,0.6917781573534011,,,0.0,0.002536086433313578,0.6732447014579773,0.6917781573534011
P001,cheap10_exp20,trajectory-aware RF safe fallback,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,0.6917781573534011,,,0.0,0.002536086433313578,0.6732447014579773,0.6917781573534011
P001,cheap5_exp20,cheap-only,2.476578950881958,1.0,0.0,-2.516578950881958,0.0,,,,,,,
P001,cheap5_exp20,all-expensive,2.5488929748535156,4.0,1.0,-2.7088929748535158,-0.19231402397155772,,,,,,,
P001,cheap5_exp20,oracle upper bound,2.4554202556610107,1.2804020100502513,0.09346733668341708,-2.506636336063021,0.009942614818937212,,,,,,,
