outer_heldout,run,inner_calib,threshold,calib_delta,calib_selected,profitable_frac
P000,cheap10_exp20,P001,0.4303683207759857,0.0,0.0,0.0897822445561139
P000,cheap10_exp20,P002,0.4990723133087158,0.00018967593084906476,0.0005154639175257732,0.0788659793814433
P000,cheap10_exp20,P003,0.5529394149780273,5.7824845407505876e-05,0.00065359477124183,0.07908496732026143
P000,cheap10_exp20,P004,0.4333956406841278,0.0,0.0,0.06183844011142061
P000,cheap10_exp20,P005,0.4769456849822998,0.0,0.0,0.05186440677966102
P000,cheap5_exp20,P001,0.645451364517212,0.0011354586011800283,0.08006700167504188,0.42479061976549415
P000,cheap5_exp20,P002,0.6381649708747864,0.01024413640720323,0.11030927835051546,0.5025773195876289
P000,cheap5_exp20,P003,0.7029792070388794,6.199717054178322e-05,0.00065359477124183,0.39869281045751637
P000,cheap5_exp20,P004,0.5496177363395691,0.001356761852678856,0.3103064066852368,0.4456824512534819
P000,cheap5_exp20,P005,0.6619119511375428,0.0,0.0,0.31254237288135595
P001,cheap10_exp20,P000,0.6917781573534011,0.0002691001940500204,0.01015228426395939,0.31725888324873097
P001,cheap10_exp20,P002,0.6378847324848176,0.011327468468970814,0.060309278350515465,0.39948453608247425
P001,cheap10_exp20,P003,0.6744106125831604,0.0010657712899002636,0.040522875816993466,0.3803921568627451
P001,cheap10_exp20,P004,0.6732447014579773,0.0,0.0,0.3732590529247911
P001,cheap10_exp20,P005,0.6259909272193909,1.8092213646792032e-05,0.00033898305084745765,0.2454237288135593
P001,cheap5_exp20,P000,0.7317129836807251,0.0,0.0,0.11573604060913706
P001,cheap5_exp20,P002,0.48998885018920896,0.0,0.0,0.1824742268041237
P001,cheap5_exp20,P003,0.6360897940397264,0.0003013753143010778,0.01045751633986928,0.15098039215686274
P001,cheap5_exp20,P004,0.7363343106040955,0.0,0.0,0.1309192200557103
P001,cheap5_exp20,P005,0.43259833915328977,0.0,0.0,0.09898305084745762
P002,cheap10_exp20,P000,0.4777846203575134,0.0,0.0,0.0751269035532995
P002,cheap10_exp20,P001,0.5810173617134095,0.0,0.0,0.14137353433835845
P002,cheap10_exp20,P003,0.5230878458747864,0.0,0.0,0.08627450980392157
P002,cheap10_exp20,P004,0.7025645838508606,0.0,0.0,0.06128133704735376
P002,cheap10_exp20,P005,0.3176063166389465,0.0,0.0,0.03864406779661017
P002,cheap5_exp20,P000,0.3289055824279785,0.04814923286438,1.0,0.717258883248731
P002,cheap5_exp20,P001,0.5711298274993897,0.05737012186960966,0.8700167504187605,0.6636515912897822
P002,cheap5_exp20,P003,0.5838667720556259,0.05010442898320222,0.7699346405228759,0.7320261437908496
P002,cheap5_exp20,P004,0.5976779055595398,0.04601348822761042,0.63008356545961,0.6323119777158774
P002,cheap5_exp20,P005,0.5099542140960693,0.023306314945221063,1.0,0.6277966101694915
P003,cheap10_exp20,P000,0.6257048940658569,0.00018480270405119015,0.06040609137055838,0.350253807106599
