root,trajectory_dir,environment,difficulty,trajectory,image_side,pose_side,n_images,n_pose_lines,usable_frames
data/tartanair_raw,data/tartanair_raw/carwelding/Hard/carwelding/Hard/P000,carwelding,Hard,P000,image_left,pose_left.txt,452,452,452
data/tartanair_raw,data/tartanair_raw/carwelding/Hard/carwelding/Hard/P001,carwelding,Hard,P001,image_left,pose_left.txt,832,832,832
data/tartanair_raw,data/tartanair_raw/carwelding/Hard/carwelding/Hard/P002,carwelding,Hard,P002,image_left,pose_left.txt,507,507,507
data/tartanair_raw,data/tartanair_raw/carwelding/Hard/carwelding/Hard/P003,carwelding,Hard,P003,image_left,pose_left.txt,352,352,352
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P037,hospital,Hard,P037,image_left,pose_left.txt,403,403,403
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P038,hospital,Hard,P038,image_left,pose_left.txt,308,308,308
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P039,hospital,Hard,P039,image_left,pose_left.txt,439,439,439
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P040,hospital,Hard,P040,image_left,pose_left.txt,437,437,437
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P041,hospital,Hard,P041,image_left,pose_left.txt,589,589,589
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P042,hospital,Hard,P042,image_left,pose_left.txt,551,551,551
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P043,hospital,Hard,P043,image_left,pose_left.txt,1112,1112,1112
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P044,hospital,Hard,P044,image_left,pose_left.txt,577,577,577
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P045,hospital,Hard,P045,image_left,pose_left.txt,342,342,342
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P046,hospital,Hard,P046,image_left,pose_left.txt,473,473,473
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P047,hospital,Hard,P047,image_left,pose_left.txt,533,533,533
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P048,hospital,Hard,P048,image_left,pose_left.txt,493,493,493
data/tartanair_raw,data/tartanair_raw/hospital/Hard/hospital/Hard/P049,hospital,Hard,P049,image_left,pose_left.txt,311,311,311
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P000,japanesealley,Hard,P000,image_left,pose_left.txt,397,397,397
