mode,seed,system,top1,mrr,mean_rank,margin
oriented,0,oracle_future,0.8194,0.9018,1.23,0.247958
oriented,0,current_embedding,0.1868,0.4613,2.93,-0.274434
oriented,0,clean_action,0.1878,0.4884,2.7,-0.193223
oriented,0,zero_action,0.1866,0.4611,2.93,-0.270106
oriented,0,negative_action,0.186,0.4412,3.1,-0.300289
oriented,0,random_action,0.1862,0.4605,2.93,-0.268726
oriented,0,shuffled_prediction,0.1922,0.458,2.93,-0.13782
oriented,1,oracle_future,0.818,0.9013,1.23,0.249011
oriented,1,current_embedding,0.1928,0.4655,2.92,-0.274717
oriented,1,clean_action,0.193,0.4908,2.69,-0.192776
oriented,1,zero_action,0.1922,0.4656,2.91,-0.270825
oriented,1,negative_action,0.1922,0.4462,3.09,-0.302478
oriented,1,random_action,0.1924,0.4657,2.92,-0.269141
oriented,1,shuffled_prediction,0.1886,0.455,2.95,-0.142284
oriented,2,oracle_future,0.8254,0.9058,1.22,0.24509
oriented,2,current_embedding,0.1852,0.4619,2.92,-0.275699
oriented,2,clean_action,0.1868,0.4893,2.69,-0.194133
oriented,2,zero_action,0.1848,0.4612,2.92,-0.271512
oriented,2,negative_action,0.1828,0.4398,3.11,-0.304439
oriented,2,random_action,0.1844,0.4615,2.92,-0.270497
oriented,2,shuffled_prediction,0.1816,0.4487,2.98,-0.147031
oriented,3,oracle_future,0.8304,0.9075,1.22,0.255146
oriented,3,current_embedding,0.1882,0.4616,2.93,-0.287078
oriented,3,clean_action,0.1886,0.489,2.7,-0.201079
oriented,3,zero_action,0.1874,0.4614,2.93,-0.282266
oriented,3,negative_action,0.187,0.4417,3.11,-0.314316
oriented,3,random_action,0.1878,0.4621,2.92,-0.280507
oriented,3,shuffled_prediction,0.1988,0.4612,2.93,-0.13692
oriented,4,oracle_future,0.8198,0.9023,1.23,0.240077
oriented,4,current_embedding,0.1884,0.4624,2.92,-0.26719
oriented,4,clean_action,0.19,0.4897,2.69,-0.188159
oriented,4,zero_action,0.1888,0.4629,2.92,-0.263005
oriented,4,negative_action,0.1878,0.4436,3.09,-0.293036
oriented,4,random_action,0.1884,0.4631,2.92,-0.26126
oriented,4,shuffled_prediction,0.2002,0.4624,2.92,-0.134147
oriented,5,oracle_future,0.8292,0.9079,1.21,0.247649
oriented,5,current_embedding,0.1918,0.4636,2.92,-0.273086
oriented,5,clean_action,0.191,0.4888,2.71,-0.191437
oriented,5,zero_action,0.1914,0.4629,2.93,-0.268415
oriented,5,negative_action,0.1904,0.4427,3.11,-0.299872
oriented,5,random_action,0.191,0.4629,2.92,-0.267759
oriented,5,shuffled_prediction,0.1864,0.4522,2.97,-0.143492
weak,0,oracle_future,0.9594,0.9784,1.05,0.133725
weak,0,current_embedding,0.206,0.4623,2.98,-0.194268
weak,0,clean_action,0.2394,0.4947,2.79,-0.13851
weak,0,zero_action,0.206,0.4622,2.98,-0.191211
weak,0,negative_action,0.1854,0.4426,3.08,-0.227014
weak,0,random_action,0.2054,0.4618,2.98,-0.191597
weak,0,shuffled_prediction,0.192,0.4524,3.01,-0.110134
weak,1,oracle_future,0.9638,0.9809,1.04,0.140925
weak,1,current_embedding,0.2088,0.4629,2.97,-0.195326
weak,1,clean_action,0.2462,0.4988,2.78,-0.135772
weak,1,zero_action,0.2076,0.4622,2.98,-0.19223
weak,1,negative_action,0.1818,0.4398,3.09,-0.231291
weak,1,random_action,0.207,0.4616,2.98,-0.193761
weak,1,shuffled_prediction,0.1992,0.4574,2.99,-0.109817
weak,2,oracle_future,0.9664,0.9824,1.04,0.132675
weak,2,current_embedding,0.2004,0.4592,2.98,-0.196414
weak,2,clean_action,0.2384,0.4954,2.78,-0.138181
weak,2,zero_action,0.199,0.4586,2.98,-0.193556
weak,2,negative_action,0.1786,0.4391,3.09,-0.231146
weak,2,random_action,0.2,0.4593,2.97,-0.193089
weak,2,shuffled_prediction,0.2012,0.4604,2.97,-0.111665
weak,3,oracle_future,0.9604,0.979,1.05,0.137921
weak,3,current_embedding,0.1866,0.4481,3.03,-0.206523
weak,3,clean_action,0.2248,0.4847,2.82,-0.145957
weak,3,zero_action,0.1866,0.4482,3.03,-0.203387
weak,3,negative_action,0.1686,0.4304,3.13,-0.241749
weak,3,random_action,0.1876,0.4489,3.02,-0.203294
weak,3,shuffled_prediction,0.2068,0.4639,2.96,-0.104861
weak,4,oracle_future,0.9624,0.9802,1.04,0.133281
weak,4,current_embedding,0.2086,0.4656,2.95,-0.191659
weak,4,clean_action,0.25,0.5046,2.74,-0.132689
weak,4,zero_action,0.2086,0.4656,2.95,-0.188486
weak,4,negative_action,0.1844,0.4441,3.06,-0.226479
weak,4,random_action,0.206,0.4641,2.95,-0.188972
weak,4,shuffled_prediction,0.1922,0.4517,3.01,-0.113449
weak,5,oracle_future,0.9626,0.9805,1.04,0.128107
weak,5,current_embedding,0.207,0.4632,2.97,-0.186233
weak,5,clean_action,0.2452,0.4981,2.78,-0.129292
weak,5,zero_action,0.208,0.4636,2.97,-0.18263
weak,5,negative_action,0.181,0.4411,3.08,-0.220705
weak,5,random_action,0.2074,0.4638,2.96,-0.184111
weak,5,shuffled_prediction,0.1952,0.4525,3.02,-0.110424
