mode,dist,seed,system,top1,mrr,mean_rank,margin
weak,100,0,oracle_future,1.0,1.0,1.0,0.136815
weak,100,0,current_embedding,0.2241,0.4704,2.97,-0.199723
weak,100,0,clean_action,0.2612,0.5066,2.76,-0.141073
weak,100,0,zero_action,0.2225,0.4696,2.97,-0.196608
weak,100,0,negative_action,0.2017,0.4501,3.07,-0.235045
weak,100,0,random_action,0.2227,0.4699,2.97,-0.197218
weak,100,0,shuffled_prediction,0.2178,0.4711,2.94,-0.111103
weak,100,1,oracle_future,1.0,1.0,1.0,0.136234
weak,100,1,current_embedding,0.2255,0.473,2.95,-0.197328
weak,100,1,clean_action,0.2648,0.51,2.75,-0.138942
weak,100,1,zero_action,0.225,0.4724,2.95,-0.194233
weak,100,1,negative_action,0.2018,0.4512,3.06,-0.23282
weak,100,1,random_action,0.2245,0.4721,2.95,-0.195638
weak,100,1,shuffled_prediction,0.2223,0.473,2.94,-0.112787
weak,100,2,oracle_future,1.0,1.0,1.0,0.136213
weak,100,2,current_embedding,0.2241,0.4724,2.95,-0.198318
weak,100,2,clean_action,0.2664,0.5116,2.74,-0.139377
weak,100,2,zero_action,0.224,0.4723,2.95,-0.195262
weak,100,2,negative_action,0.2017,0.4516,3.06,-0.233439
weak,100,2,random_action,0.2236,0.4722,2.95,-0.196024
weak,100,2,shuffled_prediction,0.222,0.4723,2.94,-0.109699
weak,100,3,oracle_future,1.0,1.0,1.0,0.132938
weak,100,3,current_embedding,0.2278,0.4747,2.94,-0.195118
weak,100,3,clean_action,0.2665,0.5111,2.74,-0.137325
weak,100,3,zero_action,0.2274,0.4745,2.94,-0.19213
weak,100,3,negative_action,0.2046,0.4538,3.05,-0.229783
weak,100,3,random_action,0.2267,0.4741,2.94,-0.192909
weak,100,3,shuffled_prediction,0.219,0.4723,2.93,-0.111898
weak,100,4,oracle_future,1.0,1.0,1.0,0.135838
weak,100,4,current_embedding,0.2291,0.4767,2.93,-0.198215
weak,100,4,clean_action,0.2708,0.5148,2.72,-0.138548
weak,100,4,zero_action,0.2302,0.477,2.93,-0.194843
weak,100,4,negative_action,0.2074,0.4565,3.03,-0.233459
weak,100,4,random_action,0.229,0.4765,2.93,-0.195916
weak,100,4,shuffled_prediction,0.2189,0.4705,2.94,-0.109718
weak,100,5,oracle_future,1.0,1.0,1.0,0.134576
weak,100,5,current_embedding,0.2304,0.4767,2.93,-0.194801
weak,100,5,clean_action,0.2725,0.5147,2.73,-0.136814
weak,100,5,zero_action,0.2318,0.4775,2.93,-0.191348
weak,100,5,negative_action,0.2065,0.4552,3.04,-0.229261
weak,100,5,random_action,0.2314,0.4775,2.93,-0.192222
weak,100,5,shuffled_prediction,0.2221,0.4739,2.93,-0.107209
weak,150,0,oracle_future,1.0,1.0,1.0,0.125925
weak,150,0,current_embedding,0.2266,0.4741,2.94,-0.17096
weak,150,0,clean_action,0.2788,0.5239,2.67,-0.109935
weak,150,0,zero_action,0.2245,0.473,2.94,-0.16822
weak,150,0,negative_action,0.1954,0.4447,3.1,-0.213007
weak,150,0,random_action,0.2263,0.4743,2.94,-0.169379
weak,150,0,shuffled_prediction,0.2126,0.4672,2.95,-0.106516
weak,150,1,oracle_future,1.0,1.0,1.0,0.125175
weak,150,1,current_embedding,0.2223,0.4717,2.95,-0.170715
weak,150,1,clean_action,0.2774,0.5224,2.68,-0.109912
weak,150,1,zero_action,0.2222,0.4718,2.95,-0.16799
weak,150,1,negative_action,0.1917,0.4423,3.11,-0.212533
weak,150,1,random_action,0.2245,0.4727,2.95,-0.169118
weak,150,1,shuffled_prediction,0.2185,0.4699,2.94,-0.105843
weak,150,2,oracle_future,1.0,1.0,1.0,0.121691
weak,150,2,current_embedding,0.2199,0.4716,2.94,-0.167141
weak,150,2,clean_action,0.2715,0.5204,2.67,-0.108366
weak,150,2,zero_action,0.22,0.4715,2.94,-0.164317
weak,150,2,negative_action,0.1921,0.4441,3.09,-0.207873
weak,150,2,random_action,0.2203,0.4713,2.94,-0.165322
weak,150,2,shuffled_prediction,0.2156,0.4687,2.95,-0.104577
weak,150,3,oracle_future,1.0,1.0,1.0,0.123526
weak,150,3,current_embedding,0.2193,0.4706,2.95,-0.168964
weak,150,3,clean_action,0.2736,0.5204,2.68,-0.109272
weak,150,3,zero_action,0.2189,0.4702,2.95,-0.166136
weak,150,3,negative_action,0.1895,0.4416,3.1,-0.210286
weak,150,3,random_action,0.2198,0.4708,2.95,-0.167532
weak,150,3,shuffled_prediction,0.2191,0.4717,2.93,-0.104424
weak,150,4,oracle_future,1.0,1.0,1.0,0.125543
weak,150,4,current_embedding,0.2247,0.4742,2.93,-0.169153
weak,150,4,clean_action,0.2789,0.5243,2.67,-0.108478
weak,150,4,zero_action,0.2244,0.4739,2.94,-0.166443
weak,150,4,negative_action,0.192,0.4438,3.1,-0.211519
weak,150,4,random_action,0.2249,0.4739,2.94,-0.167625
weak,150,4,shuffled_prediction,0.2207,0.4727,2.93,-0.103771
weak,150,5,oracle_future,1.0,1.0,1.0,0.12496
weak,150,5,current_embedding,0.2211,0.4713,2.95,-0.169546
weak,150,5,clean_action,0.2747,0.5205,2.68,-0.108942
weak,150,5,zero_action,0.2197,0.4705,2.95,-0.166649
